contentid,capacity,baby_carriage,credit_card,pet,age_range,info_center,open_period,parking,parking_fee,reservation_info,rest_date,scale,use_time,use_fee
595354,,없음,없음,없음,,대신샹제리제 휘트니스클럽 02-554-8844,,주차 가능,3시간 무료 (24시간 전 사전등록한 이용객),,"매주 일요일, 명절",,"평일 06:00 ~ 22:30<br />
토요일/공휴일 06:00 ~ 19:00",
131794,,없음,가능,없음,,뚝섬안내센터 02-3780-0521,,주차 가능,"최초 30분 1,000원 / 초과 10분당 200원",,,,,
131297,,없음,가능,없음,7세 이상,1661-2000,,주차 가능,,롯데월드 아이스링크 1661-2000,,,"월~금,일,공휴일 (12:00 ~20:00)<br />
토요일(10:00~22:00)<br />
<br />
※ 정빙시간 홈페이지 참조<br />
롯데월드 아이스링크 <a href=""http://www.lotteworld.com/icerink"" target=""_blank"" title=""새창 : 롯데월드 아이스링크 홈페이지로 이동"">http://www.lotteworld.com/icerink </a>",
131010,,없음,없음,없음,,02-317-7305~6,,,,,매월 마지막주 월요일,8m x 14m,06:00 ~ 22:00,
767780,총 200명 수용 가능,없음,가능,없음,6세 ~ 70세,리버시티 02-3442-3313,매년 상이함,한강시민공원 주차장 이용,,"홈페이지 : <a href=""http://www.hanrivercity.com/"" target=""_blank"" title=""새창 : 리버시티 홈페이지로 이동"">www.hanrivercity.com</a><br />
전화 문의 : 02-3442-3313",연중무휴,,06:30 ~ 19:30 (해 길이에 따라 월별 영업시간이 탄력적일 수 있음),
131316,,없음,가능,없음,,"망원보트 02-337-6663 <br />
망원안내센터 02-3780-0601",,주차 가능,,망원보트 02-337-6663,,,일출 ~ 일몰,
131901,,없음,없음,없음,14세 이상,명동사격장 02-777-6604,,,,02-777-6604,연중무휴,,"10:00 ~ 21:00 (입장마감 20:30)<br />
점심시간 12:00 ~ 13:00<br />
＊예약이 가능하며 주말은 미리 전화 요망.",
2591862,,없음,없음,가능,,구로구 녹색도시과 02-860-3094,,,,,,,,
131434,,없음,없음,없음,,목동사격장 02-2646-9993,,주차 가능,유료,02-2646-9993,,,"평일 10:30~19:00<br />
주말 09:30 ~ 18:00",
130978,,없음,없음,없음,,목동아이스링크 02-2649-8454~6,,주차 가능,,02-2649-8454~6,연중무휴,,"＊일일입장 (일반인을 위한 개장시간)<br />
 평일 - 14:00~18:00<br />
토요일,일요일,공휴일 - 12:00~18:00<br />
방학기간 - 10:00~18:00 (방학기간 일정은 공지사항 참조)",
1354065,,없음,없음,없음,,목동운동장 02-2240-8800,,주차 가능,"평상시 :  매 10분마다 소형차 200원, 대형차 400원",,,,,
131137,,없음,없음,없음,,02-2642-1318,,,,,,,,
131136,,없음,없음,없음,,02-2167-0100,,주차 가능,,,연중무휴,,,
131332,,없음,가능,없음,,문래청소년수련관 02-2167-0100,,주차 가능,,,,25M * 10.5M,,
595468,,없음,가능,없음,,반트 02-3498-0000~1,,주차 가능,,,둘째주 수요일,,05:30 ~ 22:30,
2406564,,없음,없음,없음,,성북구 공원녹지과 02-2241-3663,,,,,,,,
131534,,없음,없음,불가,,02-595-0231~3,,주차 가능,,전화 문의 02-595-0231~3,"둘째,넷째주 월요일<br />신정, 구정, 추석, 선거일",,"주중 08:00 ~ 22:00<br />
주말 09:00 ~ 22:00",
231988,,없음,없음,없음,,02-478-2663~4,,,,"홈페이지 : <a href=""http://www.ssd.co.kr"" target=""_blank"" title=""새창 : 산호수중 홈페이지로 이동"">http://www.ssd.co.kr</a><br />
전화 문의 : 02-478-2663~4",월요일,,10:00 ~ 18:00,
131333,,없음,없음,없음,,02-360-8684,,,,,"일요일, 공휴일",,"06:00~22:00 (단, 토요일은 19:00까지)",
1101088,,없음,없음,없음,,"1,2,4코스 : 종로구청 관광체육과 02-2148-1864<br />
3코스(남산구간) : 중구청 문화관광과 02-3396-4623",,,,,,,,
130997,,없음,가능,없음,,02-735-4612,,,,"홈페이지 <a href=""http://www.peymca.or.kr"" target=""_blank"" title=""새창 : 서울 YMCA 체육교육부 홈페이지로 이동"">www.peymca.or.kr </a><br />
전화 문의 02-735-4612",,,06:00 ~ 21:00,
663785,,없음,가능,없음,,02-2133-2691,,서울시 운영 공용주차장 이용,,,,,,
1362516,,없음,가능,불가,연령 제한 없음. 어린 자녀와 부모님 동행 가능,서울마리나 요트&클럽 02-3780-8400,,있음,무료,전화 / 홈페이지 예약 가능,설/추석 연휴 당일,,오전 10:00~ 오후 9:00  탑승 10분전 도착,
131852,,없음,없음,없음,,02-810-5075~7,,주차 가능,,,,,,
131712,"* 총 관람석 : 66,704석",없음,없음,없음,,02-2128-2000,,주차대수 : 총 537구획 (홈플러스 767구획 별도 운영),경기장 주차장 : 5분당 150원 / 홈플러스 주차장 : 30분당 1000원,,,"대지면적 : 216,712㎡ <br />
건축면적 : 58,539.63㎡ <br />
연면적 : 166,503.34㎡ <br />
층수 : 지하1층, 지상6층 (최고높이 49.4m) <br />
형태 : 타원형 (304m × 279m) <br />
부속건축물 : 9동 1,689.39㎡",,
1093200,,없음,없음,없음,,체육시설관리사업소 02-2240-8800,,주차 가능,소형 : 5분단위 100원 <br /> 대형 : 5분단위 200원,02-2240-8800,,,,
131138,,없음,가능,없음,,02-2267-2914,,,,,연중무휴,,,
131408,,없음,없음,없음,,"02-834-7231~4, 02-834-6411~4",,주차 가능,,,,,,
131455,,없음,없음,없음,,02-2226-3611~4,,주차 가능,,"전화 문의 02-2226-3611~4 <br />
홈페이지 <a href=""http://www.youtra.or.kr"" target=""_blank"" title=""새창 : 수서청소년수련관 홈페이지로 이동"">http://www.youtra.or.kr</a>",,,06:00 ~ 22:00,
131334,,없음,없음,없음,,서초구민체육센터 02-591-6060,,,,,"넷째,다섯째주 일요일","1,350평방미터, 25m,15m 성인용풀 및 86평방미터 유아용풀","월~금　06:00~22:50<br />
토요일 06:00~21:50<br />
일요일 11:00~17:50<br /><br />
＊수영의 경우 강습 및 자유수영 프로그램에 따라 시간이 다름",
131903,,없음,없음,없음,,02-3466-6000,,주차 가능,,,연중무휴,총 면적 6093.57㎡,24시간,
131904,,없음,없음,없음,,02-2021-6000,,주차 가능,,,연중무휴,"2,694㎡",24시간,
989663,,없음,가능,없음,,송강카누학교 033-461-1659,3월 ~ 11월,"자체 주차장(20대), 공원 공영 주차장","자체 주차장(무료), 공원주차장(1일 12,000원)","송강카누학교 <a title=""새창 : 송강카누학교 홈페이지로 이동"" href=""http://www.paddler.co.kr"" target=""_blank"">http://www.paddler.co.kr</a>",,,09:00 ~ 17:00,
131498,,없음,없음,없음,,대한수중핀수영협회 02-420-4293,,,,,,,,
131533,,없음,없음,없음,,02-869-1888,,주차 가능,회원에 한해 3시간 무료 주차,,매월 첫째주 일요일 / 법정공휴일,,"수영(강습) - 평일 06:00 ~ 21:50 / 토요일 06:00 ~ 20:50<br />
헬스장 - 평일 06:00 ~ 21:50 / 토요일 06:00 ~ 17:50",
2591870,"59,860명",없음,없음,불가,,안양천 물놀이장 02-860-2546,,있음,무료,,"매주 월요일, 우천시 휴무",,"* 오전 10시~오후 6시<br />
* 매시간 : 물놀이 50분, 휴식 10분, 13:30~14:00 물놀이장 청소",
2612119,,없음,없음,없음,,양천구 둘레길 02-2620-3590,,,,,,,,
2612170,,없음,없음,없음,,양천구 둘레길 02-2620-3590,,,,,,,,
2612154,,없음,없음,없음,,양천구 둘레길(하천형 02-2620-3590,,,,,,,,
131727,,없음,없음,없음,,어린이회관 눈썰매장 02-444-6377,,주차 가능,유료,,,,10:00 ~ 17:00,
1054888,,없음,없음,없음,,시민활동지원과 02-3780-0772,,,,,,약 8km,,
2535289,,없음,없음,없음,,강북구청 문화관광체육과 02-901-6213,,,,"최소3일전, 10인이상 단체 예약 / 전화 문의 02-901-6213",연중무휴,,10:00 ~ 17:00,
595579,,없음,없음,없음,,스포츠문화팀 02-550-3632,,,,"홈페이지 : <a href=""http://www.gyyc.kr "" target=""_blank"" title=""새창 : 역삼청소년수련관 홈페이지로 이동"">http://www.gyyc.kr</a><br />
전화 문의 : 02-550-3600, 02-550-3650",,,프로그램에 따라 다름,
558912,,없음,없음,없음,,02-410-1114,,,,,,"* 체조경기장 - 지하1층, 지상3층 / 건축면적 : 14,016㎡ / 연면적 30,548㎡<br />
* 펜싱경기장 - 지하2층, 지상3층 / 건축면적 : 9,077.99㎡ / 연면적 19,271.67㎡<br />
* 역도경기장 - 1층 832석(휠체어석 12석 포함), 2층 352석 총 1184석 <br />",,
665099,,없음,없음,없음,,02-2180-3692~4,,주차 가능,,,,,"일일입장 : 50분(1회기준)<br />
1일권 : 09:00~19:50<br />
주간권 : 월~금(09:00~19:50)<br />
물품보관함 : 1회",
131122,,없음,가능,불가,,국민생활관 02-745-6701~4,,주차 가능 (이용시간 09:00~18:00),"기본 30분 1,000원, 초과 10분당 500원 <br />※ 회원요금 - 3시간 무료(프로그램 이용요일만 가능)","홈페이지 : <a href=""http://www.ijongno.co.kr/"" target=""_blank"" title=""새창 : 종로구시설관리공단 홈페이지로 이동"">http://www.ijongno.co.kr/</a><br />
전화 문의 : 02-745-6701~4",법정공휴일,,,
131142,,없음,없음,없음,,청소년단체 02-410-2555~6,,,,,연중무휴,,,
131407,,없음,가능,불가,,02-456-5141,,주차 가능,무료,02-456-5141,,,,
586753,,없음,없음,없음,,용산초 수영장 02-792-7330,,주차 가능,,,"일요일,공휴일",,"* 자유수영<br />
평일 00:00~24:00 <br />
토요일 12:00~15:00<br />
※ 자세한 일정은 전화문의 혹은 홈페이지 참조 요망",
990140,,없음,없음,없음,,장충체육관 02-2128-2800,,"주차 가능(장애인2, 버스2, 여성8, VIP5 포함)","5분당 400원(경기 행사 시 3시간 10,000원)",,,"지하 2층, 지상 3층, 연면적 11,399.2㎡, 관람석 4,507석",,
131313,,없음,없음,없음,,정립회관 수영센터 02-446-1238,,,,,"일요일, 법정공휴일, 기타 필요에 의한 임시공휴일",6레인(25m×6),,
131624,,없음,없음,없음,,종로구시설관리공단 02-3672-2530~1,,주차 가능,,,,,"[자유수영]<br />
토,일요일 12:00~13:50",
131958,,없음,가능,없음,,"대표번호 02-901-5000<br />
종합안내데스크 02-901-5046",,주차 가능,"일반차량 - 10분당 500원 <br />정기주차 - 월 30,000원 <br />회원차량 - 3시간무료(이후 10분당 500원, 프로그램 이용일만 가능)",02-901-5000,"매월 첫째,셋째주 일요일, 공휴일",,06:00 ~ 22:00 (일요일 09:00 ~ 18:00),
391643,,없음,가능,없음,,02-3677-8519,,,,"전화 문의 02-3677-8519 <br />
홈페이지 <a href=""http://www.kolonschool.com"" target=""_blank"" title=""새창 : 코오롱등산학교 홈페이지로 이동"">http://www.kolonschool.com</a>",공휴일,,"주중 14:00 ~ 23:00<br />
주말 10:00 ~ 18:00",
131008,,없음,가능,없음,,02-580-8300,,주차 가능,,"홈페이지 <a href=""http://seocho.sporex.com"" target=""_blank"" title=""새창 : 코오롱스포렉스 서초점 홈페이지로 이동"">http://seocho.sporex.com</a><br />
전화 문의 신관 02-580-8301~2 / 본관 02-580-8201~2",매주 수요일(본관),,"회원제<br />
월~토 06:00 ~ 22:00 <br />
공휴일 06:00 ~ 20:30",
231985,,없음,없음,없음,,클라이밍클럽 더탑 02-423-8848,,주차 가능,,예약 가능,,,강습시간에 따름,
131656,,없음,없음,없음,,"02-970-7333, 7320",,주차 가능,무료,"홈페이지 : <a href=""http://www.welfare.mil.kr/health/content/content.do?m_code=251"" target=""_blank"" title=""새창 : 국군복지포털 태릉체력단련장 소개페이지로 이동"">http://www.welfare.mil.kr/health/content/content.do?m_code=251</a><br />
전화 문의 : 02-970-7333, 7320","신정, 설날, 현충일, 추석, 창설기념일",,,
131322,,없음,가능,불가,,태릉국제스케이트장 02-970-0501,,주차 가능,,"전화 문의 02-970-0501~3 <br />
홈페이지 <a href=""http://www.icerink.or.kr"" target=""_blank"" title=""새창 : 태릉국제스케이트장 홈페이지로 이동"">http://www.icerink.or.kr</a>",연중무휴,,일빈공개 10;00 ~ 18;00,
131309,,없음,없음,없음,,02-595-8000,,,,,"수영장, 헬스장 - 매주 일요일<br />골프장 - 매월 첫째주 일요일",,"* 수영<br />
평일 06:00 ~ 22:00 / 토요일 06:00 ~ 19:00<br />
* 골프<br />
평일 06:30 ~ 22:00 / 토·일요일·공휴일 07:00 ~ 21:00",
131021,,없음,없음,없음,,1899-0700,,주차 가능,,,연중무휴,,24시간,
1148818,,없음,가능,없음,,뚝섬한강공원 02-453-3028,,주차 가능,,,기간중 무휴,,,"6,000원 (3세 미만 무료입장)"
131314,,없음,없음,없음,,광나루수영장 02-470-9561,,,,,,,09:00 ~ 19:00,
775883,,없음,없음,없음,,뚝섬수영장 02-452-5955,,,,,,,09:00 ~ 19:00,
131317,,없음,없음,없음,,여의도수영장 02-785-0478,,,,,,,09:00 ~ 19:00,
131318,,없음,없음,없음,,잠실수영장 02-421-2564,,,,,,,09:00 ~ 19:00,
131315,,없음,없음,없음,,잠원수영장 02-536-8263,,,,,,,09:00 ~ 19:00,
586576,,없음,가능,없음,19세 이상 입장 가능,해밀톤호텔 02-3786-6000,매년 5월 말~9월 초,주차 가능,데스크에서 주차확인 도장(3시간 무료),전화 문의 : 02-3786-6000,,,10:00 ~ 18:00,
131009,,없음,없음,없음,,휘트니스클럽 02-317-7305~6,,주차 가능,피트니스클럽 이용 시 무료 주차 (5시간/일),,휘트니스클럽은 연중무휴,,"24시간<br />
(영업종료(22:30) 후 이용시 객실카드를 소지하고 당직데스크(02-759-7394)로 문의 후 이용)",
1074197,,없음,없음,없음,,디지털미디어시티 홍보관 02-309-7067,,,,,,,,
131326,,없음,가능,불가,,02-2600-8808,,주차 가능,,"홈페이지 <a href=""http://www.kbssw.co.kr"" target=""_blank"" title=""새창 : KBS스포츠월드 홈페이지로 이동"">www.kbssw.co.kr</a><br />
전화 문의 02-2600-8808",,,"*자유 수영 <br />
-평일 13:30 ~ 15:30<br />
- 토·일·공휴일 09:00 ~ 17:00<br />
* 종목별 강습 프로그램 시간은 홈페이지 참조 요망",
131331,,없음,없음,없음,,송파YMCA 02-424-7511,,,,,,,"[수영장] <br />
프로그램에 따라 시간이 상이함",
1037031,,없음,없음,없음,,성북구청 공원녹지과 02-2241-3664,,,,,,,,
1037311,,없음,없음,없음,,서울시 성북구청 공원녹지과 02-2241-3664,,,,,,,,
1036894,,없음,없음,없음,,성북구 공원녹지과 02-2241-3663,,,,,,,,
1037020,,없음,없음,없음,,성북구 공원녹지과 02-2241-3663,,,,,,,,
1037027,,없음,없음,없음,,성북구청 공원녹지과 02-2241-3683,,,,,,,,
1195655,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1197225,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196862,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196867,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196871,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196886,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196890,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196883,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1196897,,없음,없음,없음,,"북한산 둘레길 탐방안내센터 02-900-8086, 8087",,,,,,,,
1197219,,없음,없음,없음,,북한산 둘레길 탐방안내센터 02-900-8086,,,,,,,,
1964911,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964912,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964914,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964918,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964922,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964932,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
1964937,,없음,없음,없음,,서울둘레길 안내센터 02-779-7902~4,,,,,,,,
2535964,,없음,가능,없음,,02-1522-9562,,은평 롯데몰 9층 주차장 이용,3시간 무료 주차,전화 문의 02-1522-9562,연중무휴,,10:30 ~ 24:00,
131845,,없음,없음,없음,,갈매기배낚시 032-765-4191,,,,갈매기배낚시 032-765-4191,"악천후 (집중호우, 풍랑, 강풍, 짙은안개, 태풍경보 등)",,,
131536,,없음,없음,없음,,길정낚시터 032-937-3114,4 ~ 10월,,,,,,,
1074812,,없음,없음,없음,,강화군청 건설과 특수지역담당 032-930-3731,,,,,,,,
131119,,없음,없음,없음,,강화 관광안내소 032-933-3624,,,,,,,,
1516091,,없음,가능,불가,,032-933-0105,성수기 7월 25일~8월 15일,주차가능,,032-933-0105,,"약 23,000여평",14:00~익일 11:00,"남성 30,000원/여성 20,000원/미성년자 20,000원"
2597317,300명,불가,가능,가능,30kg~100kg 탑승가능,강화레포츠파크 032-937-7481,,"100대 주차가능(대형, 소형)",무료,"방문전 전화안내<br />
개인손님 별도예약 없음<br />
선착순 모집 운영",매주 화요일,33000㎡,"월요일:10시~15시<br />
수/목/금요일:13시~17시<br />
토/일요일, 공휴일 : 9시~18시",
2465040,,없음,없음,불가,,계산국민체육센터 032-717-7600,,주차 가능,,,"일요일, 신정, 설/추석연휴 , 성탄절, 석가탄신일, 근로자의 날",,,
2463896,,없음,없음,없음,,032-550-3500,,주차 가능,,,,,,
2463875,"4,270명",없음,없음,없음,,032-550-3500,,주차 가능,,,,,,
2463889,,없음,없음,없음,,032-550-3500,,주차 가능,,,,"연면적 5,703.64㎡",,
2661787,,없음,없음,없음,,032-450-4902,,,,,,,,
1615657,,없음,없음,없음,,국화지낚시터 010-3448-6783,,,,,,"만수면적 : 5만 2천평, 28.48ha",,
131900,,없음,없음,없음,,나인승마클럽 032-556-8005,,주차 가능,무료,＊사전 예약 필수 (032-556-8005),,,08:00 ~18:00,
2522131,,없음,가능,없음,,032-930-7055~7,,주차가능,,"* 데크 예약은 한 달에 이용일 기준 최대 3개까지 가능<br />
* 온라인으로 예약시 24시간 이내에 결제하여야만 예약이 완료되며, 24시간 이내 결제가 안 되었을 경우 자동 예약 취소로 전환<br />
* 예약은 1박2일부터 최대 3박4일까지 가능<br />
* 텐트 구비(텐트 대여 불가)<br />
※ 전화 예약은 불가/인터넷예약 또는 모바일을 이용하여 신용카드, 실시간계좌이체, 가상계좌 중 선택하여 예약해야 함",연중무휴,62데크 (데크당 4인 기준),"입실 14:00 / 퇴실 11:00 (익일)<br />
※ 입장 가능시간 14:00~21:00",
2585321,40명 수용 가능 (추가 인원은 미리 예약시 가능),불가,불가,불가,보호자 동반 시 어린이 가능,덱스타이드 02-6929-2877~8,화~일(+법정공휴일) 08:00 ~ 20:00,있음,무료,"02-6929-2877~8<br />
덱스타이드 <a href=""https://www.dextide.com/""새창: 덱스타이드 "">https://www.dextide.com/</a>",매주 월요일,40명 수용 가능 (추가 인원은 미리 예약시 가능),화~일(+법정공휴일) 08:00 ~ 20:00,
2018189,,없음,없음,가능,,만정캠핑장 032-747-1144,,,,"032-747-1144 
<br /><a href=""http://cafe.naver.com/manjungcamping"" target=""_blank"" title=""새창 : 만정캠핑장 네이버카페로 이동"">http://cafe.naver.com/manjungcamping</a>",동계 휴장,,,
2013518,,없음,없음,없음,,선두포낚시터 032-937-9978,,,,,,,,
2465135,,없음,없음,없음,,"송도스포츠파크 대표번호 032-899-4850<br />
송도종합스포츠센터 032-899-4864",,주차 가능,,,"월요일, 설/추석 명절 연휴, 상·하반기 대정비 기간 등",,실내시설 09:00~21:00,
131363,,없음,가능,없음,,스쿠바몰 080-272-1111,,,,,"추석, 구정 연휴",,자세한 이용시간은 전화로 문의,
1615829,,없음,없음,없음,,신선낚시터 032-933-1366,,,,,,"면적 : 3.8 ha, 약 9천여평,  수심 : 1.5~2m",,
131362,,없음,없음,없음,,032-517-2051,,,,,"토요일, 공휴일(임시공휴일)",25m x 9m (6레인),평일 07:00 ~ 21:00,
2606233,,없음,없음,없음,,032-719-7778,,있음,,,연중무휴,,"1월~2월, 11월~12월 : 10:00~17:00
3월~10월 :09:00~18:00
5월4일~5월5일 : 08:00~19:00 (현장발권만 가능)
5월6일 : 08:00~18:00",
1615967,,없음,없음,없음,,032-937-8788,,,,"032-937-8788, 010-7617-6606, 0504-3132-6869",연중무휴,"약 50,000평",14:00~24:00,
1618051,,없음,없음,없음,,032-468-8182~4,,,,,일요일,,"자유수영<br />
평일 07:00 ~ 18:50 / 토요일 07:00 ~ 14:50 / 공휴일 09:00 ~ 16:50<br />
헬스<br />
평일 06:00 ~ 21:50 / 토요일 07:00 ~ 14:50 / 공휴일 09:00 ~ 16:50<br />
체육관 일일이용<br />
토요일 09:00 ~ 15:00 / 공휴일 09:00 ~ 15:00",
131148,,없음,없음,없음,,청소년수련관 032-887-5270~2,,주차 가능,,,법정 공휴일 및 임시공휴일,,"[회관운영시간] <br />
월요일~토요일 09:00~21:00 / 일요일 09:00~18:00<br />
[상시이용시설(댄스연습실,방방이,탁구장)]<br />
 09:00~21:00",
130993,,없음,없음,없음,,032-562-9991~2,,주차 가능,,"전화 문의 032-562-9991~2 <br />
홈페이지 <a href=""http://incheoncc.com"" target=""_blank"" title=""새창 : 인천국제컨트리클럽 홈페이지로 이동"">http://incheoncc.com</a>",연중무휴,22만평,,
585271,,없음,가능,불가,5세 이상,인천대공원 사계절썰매장 032-465-1524,물썰매장 : 6월~10월<br /> 눈썰매장 : 12월~2월<br /> ※ 기상상황에 따라 변동될 수 있음,주차 가능,"소형 3,000원 / 대형 4,000원",전화 문의 032-465-1524,시즌 중 무휴,,10:00 ~ 17:00,"어린이 4,000원 / 청소년 5,000원 / 어른 7,000원<br />※ 단체 30인이상 20% 할인"
131716,,없음,없음,없음,,"대관/민원문의 032-455-2677<br />
시설문의 032-200-7571<br />
주차문의 032-200-7550",,주차 가능,"승용차 2,000원, 승합차(15인승 이상) 4,000원, 버스(25인승 이상) 6,000원, 월 정기권 40,000원",,,"* 대지면적 432,034.60㎡ (133,690평)<br />
* 연면적 251,937.02㎡(76,222평)",,
131698,,없음,없음,없음,,사계절썰매장 032-565-3483,눈썰매장 12월~2월 / 물썰매장 7월~8월,주차 가능,무료,,,,눈썰매장 10:00~17:00 /  물썰매장 10:00~18:00,
2465125,,없음,없음,없음,,032-458-2014,,주차 가능,,,,,,
1939394,,없음,없음,없음,,032-454-2014,,주차 가능,,,,,,
