contentid,discountinfofestival,playtime,program,sponsor1tel,sponsor2tel,age_limit,reservation_place,start_date,end_date,place,festival_grade,place_guide,spend_time,organizer,host,sub_event,use_fee
2373391,"무료대상 : 만18세미만, 만65세이상 어르신, 장애인 및 동반보호자 1인, 국가유공자, 기초생활수급자, 재단 등록도예인, 사전등록자(개시일~11월7일)",2019.12.05~2019.12.08,,031-645-0653,031-645-0653,,,20191205,20191208,서울 aT센터 제1전시장,,,,경기도,한국도자재단,,"5,000원"
1807038,,2019.10.09~2019.10.20,,02-3210-4683,02-3210-4683,연령제한없음,,20191009,20191020,경복궁 자경전 및 자경전 앞마당,,,약 1시간,한국문화재재단,한국문화재재단,,체험비 무료(경복궁 입장료 별도 부담)
2433583,,16:00 ~ 16:40 (40분),,1600-0064,1600-0064,,,20200709,20200719,경복궁 특설무대,,,,문화재청,문화재청,,
2622167,,,,"053-743-2882~5, 053-961-8969","053-743-2882~5, 053-961-8969",전 연령 가능,,20201109,20201113,온라인개최,,,기간 내 자유,경상북도 / 사과주산지시장군수협의회,대구경북능금농업협동조합,,무료
1742496,경북사과 할인판매,2019.11.05~2019.11.07,,"053-743-2882~5, 053-961-8969","053-743-2882~5, 053-961-8969",연령제한없음,,20191105,20191107,서울광장 주무대,,,기간내자유,"경상북도, 사과주산지시장군수협의회","대구경북능금농업협동조합, 영남일보",,무료
2545459,,13:00-19:30,,070-4808-3887,,전연령가능,,20190921,20190922,남산서울타워 팔각정 앞 광장,,,기간내자유,"㈔한국인삼협회, 인삼자조금관리위원회",,,무료
1948920,,2019.10.29~2019.10.30,,02-2486-9295~6,02-2486-9295~6,연령제한없음,,20191029,20191030,"서울 삼성동 COEX 3층 HALL C1,2",,,행사기간내자유,문화체육관광부,한국관광공사 외 11개 협회,,안내처 문의
1420642,,,,02-450-1114,02-450-1114,연령제한없음,,20191005,20191005,광진숲나루,,"<b>지하철 </b><br>
2호선 구의역 1번 
출구에서 도보 5분 <br /><b>버스 </b><br>
119, 2221, 302, 
303, 320, 3215, 3216, 3220, 9403, 광진03(마을), 광진04(마을) 광진구청앞 하차 
<br /><br /><b>주소 및 연락처 </b><br>
서울특별시 광진구 
자양로 117(자양동777) 광진구청 (우) 143-702 <br />안내전화 : 02-450-1114 <br />종합상황실 
: 02-450-1300 <br />팩스 : 02-453-0933 <br /><br>",,광진구청,,,무료
2039869,,,,02-860-2282,02-860-2282,,,20200901,20200927,"안양천, 오류아트홀, 안양천 등 구로구 일원과 구로G페스티벌 공식 유튜브",,,,구로구,,,
2618971,,11:00~21:00,,02-860-2140,02-860-2140,전 연령 가능,,20191012,20191012,"구로중앙로(구로구청 인근), 구로중학교",,,기간 내 자유,구로구청,,,무료
140660,,"- 토요상설공연 : 1~12월 매주 토요일 오후 3시<br />
- 금요열린민속무대 : 봄, 가을에 운영(4~6월, 9~10월) 매주 금요일 오후 2시",,02-3704-3114,02-3704-3114,연령제한없음,,20200101,20201231,국립민속박물관 공연홀,,"[지하철]<br />
3호선 안국역 1번 출구<br />
5호선 광화문역 2번 출구",,국립민속박물관,,,
1844656,,2019.09.14~2019.09.15,,"02-3704-3127, 4524","02-3704-3127, 4524",연령제한없음,,20190914,20190915,국립민속박물관,,"[지하철]<br />1. 3호선 안국역 1번 출입구: 직진하여 안국동사거리를 지나 동십자각까지 
오신 후 오른쪽 삼청동길을 따라 400미터쯤 걸어오시면 왼쪽에 국립민속박물관(걸어서 
약 15분 걸림)<br />2. 5호선 광화문역 2번 출입구: 직진하여 미대사관을 지나 광화문공원을 
따라 오른쪽 길로 오시다가 지하도를 건너서 삼청동길을 따라 400미터쯤 걸어오시면 
왼쪽에 국립민속박물(걸어서 약 17분 걸림)<br>
[버스]<br />세종로 주변 버스정류장에서 걸어서 15분~20분<br />간선버스(파란버스) 
: 109, 151, 162, 171, 172, 272, 401, 406, 601, 606, 704<br />지선버스(녹색버스) 
: 1020, 1711, 7016, 7018, 7022, 7025, 7212<br />순환버스(시티투어버스) : 90S투어, 
91S투어<br>
[마을버스]<br />11번 마을버스(삼청교통) 이용: 서울역 역전우체국(1호선,4호선) 
→ 남대문(외환은행) → 시청역(1호선, 2호선) → 프레스센터 →광화문역(한국통신) 
→경복궁(법련사) → 국립민속박물관(정독도서관) 하차<br>",기간내자유,국립민속박물관,어린이박물관,,"무료~8,000원(재료비 참가자 부담)"
1276136,,,,02-6000-8000,"02-6000-8000,8888",전연령 가능함,,20200716,20200719,코엑스 1층 Hall B,,* 지하철 2호선 삼성역 이용,기간내자유,티월드 위원회,티월드 페스티벌,,
1030365,,프로그램마다 다름,,02-763-5351,02-763-5351,전연령 가능함,,20200514,20200529,아르코예술극장 대극장,,,기간내자유,(사)한국현대무용협회,MODAFE KOREA,,프로그램마다 다름
2659596,,"금, 토 : 오전 10시 ~ 오후 6시(입장 마감 오후 5시 30분)<br>
일 : 오전 10시 ~ 오후 5시 30분(입장 마감 오후 5시)",,070-8866-6668,,,,20200619,20200621,양재 aT센터 전관,,,,"(주)캣페스타, (사)한국고양이보호협회",(주)캣페스타,,"8,000원(사전예약 시 할인)"
2027281,,2019.10.11.(금) 13:30~13:50/ 15:00~15:30,,02-2148-1858,02-708-0788,,,20191011,20191012,운현궁(사적 제257호),,,기간내 자유,종로구,(사)한국전통음식연구소,,무료
1998564,,09:00 ~ 22:00,,02-3210-4684,02-3210-4684,,,20201010,20201108,"경복궁, 창덕궁,덕수궁, 창경궁, 경희궁, 종묘, 사직단",,,,문화재청 궁능유적본부,한국문화재재단,,프로그램별 상이
1355818,,,,,,전연령가능,"인터파크, 예스24, 멜론티켓",20201024,20201025,서울 올림픽공원 일원,,"<font face=""돋움"">지하철 &nbsp;&nbsp;<br />5호선(마천행) 올림픽공원역 하차 3번 출구 &nbsp;<br /><br />버스  &nbsp;&nbsp;<br />동2문(올림픽공원역)<br />지선버스 
: 3212, 3413, 3214, 3316, 4213<br />간선버스 
: 371<br />공항버스 
: 606 <br />경기버스 
: 30-5<br /><br />남2문(경륜장입구)<br />지선버스 
: 3216, 3412, 3413, 3414<br />경기버스 
: 30, 30-5<br /><br />남4문<br />지선버스 
: 3412, 3413<br />간선버스 
: 340<br />경기버스 
: 30, 30-5<br /><br />평화의 
광장(지하철 8호선 몽촌토성역 1번 출구)<br />지선버스 
: 3412, 3413<br />경기버스 
: 30, 30-5<br /><br />올림픽회관<br />지선버스 
: 3312, 3411<br />간선버스 
: 340, 361<br />경기버스 
: 16, 16-1, 17-2, 30, 30-1, 30-2, 30-3, 70 </font><br>",기간내 자유,민트페이퍼(Mint Paper),,,
2563103,,오후 1시~5시,,02-780-8821,02-780-8821,전연령 가능,,20191102,20191102,서울어린이대공원 열린무대,,,기간 내 자유,"한국국제문화교류진흥원, GKL사회공헌재단","한국국제문화교류진흥원, GKL사회공헌재단",,무료
2620667,,2019.10.7(월) 9:00~19:30,,02-559-3841,02-559-3841,전 연령 가능,,20191007,20191007,밀레니엄 서울 힐튼 그랜드볼룸,,,"참가 세션에 따라 관람 소요시간 달라질 수 있음, 프로그램 참조",과학기술정보통신부,한국과학창의재단,,무료
2626440,,"11:00 ~ 20:00(무대공연 17:00 ~ 20:00, 플리마켓 11:00 ~ 19:00, 체험관 11:00 ~ 18:00)",,"02-2286-7794, 6621","02-2286-7794, 6621",전 연령 가능,,20191019,20191020,서울숲,,,기간 내 자유,성수도시재생 주민협의체,성수지앵 협동조합,,무료
1922774,"청소년할인(초,중,고) 16,000원<br>
 대학생할인, 2018년&nbsp;개띠&nbsp;20,000원<br>
 꽃보다 슈퍼스타 할인(성인/대학생이상) 24,000원<br>
 재관람 할인 15,000원<br>
 장애인, 국가유공자(동반 1인까지), 경로할인(만 70세이상) 15,000원<br>
 ※ 현장에서 티켓 수령시 증빙서류 확인(미지참시 차액지불)<br>
 <br><br>","- 화~금 3시 5시 8시<br />
- 토요일 3시 5시 7시<br />
- 일요일 2시 4시 <br />
- 공휴일 1시 3시 5시 7시<br /><br />
* 월요일 공연없음<br />
* 공휴일 1시/3시/5시/7시",,02-764-0686,02-764-0686,만 7세 이상 가능,"인터파크 1544-1555 <a href=""http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008561"" target=""_blank"" title=""인터파크 예매사이트로 이동""><font color=""blue"">http://ticket.interpark.com</font></a>",20200101,20201231,마로니에극장,,,90분,바인프로덕션,,,"기본가 40,000원<br>"
1305978,예매 싸이트 확인 참고,"월~금 17:00, 20:00 / 토14:00, 17:00, 20:00 / 일,공휴일 14:00, 17:00",,02-739-8288,02-739-8288,12개월 이상 (36개월 이상 요금지불),"<a href=""http://nanta.i-pmc.co.kr/Nanta/kr/ticket/ticketing.aspx"" target=""_blank"" title=""새창:난타 홈페이지로 이동"">http://nanta.i-pmc.co.kr</a>",20200101,20201231,홍대난타전용극장,,"1. 지하철 
이용시<br />&nbsp;(1) 2호선 홍대입구역에서 9번 출구(도보 5분)<br />&nbsp;(2) 6호선 
상수역에서 1번 출구(도보 10분)<br /><br />2. 버스 이용시(홍대입구역 앞 하차)<br />&nbsp;(1) 
간선버스(파랑) : 273, 271, 760, 602, 603, 604번<br />&nbsp;(2) 광역버스(빨강) 
: 1100, 1000, 1200, 1900, 13000, 1101, 1301, 1400, 1601, 1600, 1500번<br />&nbsp;(3) 
지선버스(초록) : 5712, 5714, 6716, 6712, 7016, 7612, 7737, 7711번<br />&nbsp;(4) 
좌석버스(노랑) : 921번<br />&nbsp;(5) 공항버스 : 6002번<br>",100분,PMC 프러덕션,PMC 프러덕션,,"VIP석 66,000원<br />
S석 55,000원<br />
A석 44,000원"
406745,,"월~목 17:00, 20:00/ 금,일,공휴일 14:00, 17:00, 20:00 / 토 11:00, 14:00, 17:00, 20:00",,02-739-8288,02-739-8288,12개월이상,"<a href=""http://www.nanta.co.kr"" target=""_blank"" title=""새창:난타 홈페이지로 이동"">http://www.nanta.co.kr</a>",20200101,20201231,명동난타극장 (구.명동아트센터),,"1. 지하철 
이용시<br />&nbsp;(1) 2호선 을지로입구역 5, 6번 출구(도보 5분)<br />&nbsp;(2) 4호선 
명동역 6번 출구(도보 10분)<br /><br />2. 버스 이용시<br />&nbsp;(1) 간선버스(파랑) 
: 104, 108, 263, 604, 406, 500, 501, 701, 702번<br />&nbsp;(2) 광역버스(빨간) 
: 7011, 9701, 9400, 9401, 9402, 9701, 9705, 9710번<br />&nbsp;(3) 지선버스(초록) 
: 0013, 0211, 7011, 7015, 0014, 0015, 7015, 7020, 7021, 7023번<br />&nbsp;(4) 
지선버스(노랑) : 02, 01번<br />&nbsp;(5) 공항버스 : 605-1번<br>",100분,PMC 프로덕션,,,"VIP석 66,000원  <br />
S석 55,000원<br />
A석 44,000원"
1427601,"학생(고등학생 이하), 장애인(동반1인 무료), 국가유공자 / 입장시 해당신분증 지참 필요(학생증, 장애인증 등)",,,02-757-7485,02-757-7485,전연령 가능함,,20201008,20201011,서울 여의도공원 문화의마당,,,시간내 자유,문화체육관광부,"한국관광협회중앙회, 코엑스",,"홈페이지 참고(<a href=""http://www.naenara.or.kr"" target=""_blank"" title=""새창:내나라여행박람회 홈페이지로 이동"">http://www.naenara.or.kr</a>)"
2558078,,2019년 9월 21일(토) 10:00~14:00(11:30 접수 마감),,02-901-6213,02-901-6213,초등학생 이상,,20190921,20190921,강북구 4.19로 114 근현대사기념관,,,기간 내 자유,강북구청,,,무료
2555638,,OPEN RUN,,02-6271-1190,02-6271-1190,36개월 이상 관람가 / 만 12세 미만 어린이는 보호자 동반 입장 필수,"인터파크 : <a href=""http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011365"" target=""_blank"" title=""새창: 인터파크 홈페이지로 이동"">http://ticket.interpark.com</a>",20200101,20201231,명보아트홀 가온홀,,,약 80분,㈜에픽씨어터,㈜에픽씨어터,,"R석 50,000원, S석 40,000원"
2554931,,10:00 ~ 21:30,,02-2116-4924,02-2116-4924,모든 세대,,20191004,20191006,노원구 노해로 일대(롯데백화점 노원점 ~ 순복음교회 550m 구간),,,기간내 자유,노원문화재단,"노원탈축제추진위원회<br>후원 : 노원구, 서울시","1. 창작 탈 전국 공모전
2. K-POP 해탈 청소년 댄스동아리 경연대회
3. 탈 플래시몹
4. 탈 연희 퍼포먼스 공연
5. 탈 축제 일탈 포토존
6. 주민 창작 탈 만들기 등",무료
1204763,예매처 할인정보 참고,오픈런 / 홈페이지 확인,,02-3672-0900,02-3672-0900,만 13세 이상,"인터파크 1544-1555 <a href=""http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17013868"" target=""_blank""title=""인터파크 예매사이트로 이동""><u><font color=""blue"">http://ticket.interpark.com</font></u></a>",20200101,20201231,대학로 유니플렉스 3관,,,,(주)이다엔터테인먼트,(주)나인스토리,,"일반석 35,000원"
1287041,,화~금 16:00/20:00,,02-324-1421,02-324-1421,만 8세이상,"* 인터파크 1544-1555 <a href=""http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18008118"" target=""_blank"" title=""인터파크 예매사이트로 이동""><font color=""blue"">http://ticket.interpark.com</font></a>",20200101,20201231,홍대 김대범 소극장,,"* 지하철 2호선 홍대입구역 5번출구 도보 5분<br />
* 시내버스(파란색) 273번 삼진제약 하차",90분,(주)도향 엔터테인먼트,도향엔터테인먼트,,"일반석 35,000원"
1717921,,"금 15:30~21:00, 토 12:00~21:00, 일 13:00~21:00",,02-741-4188,02-741-4188,전연령 가능,,20200605,20200607,온라인중계,,,기간내자유,(사)한국소극장협회,(사)한국소극장협회,,무료
2620558,,오후3시~6시,,02) 744-8051,02) 744-8051,전연령 가능,,20190928,20190928,서울 종로구 국악로 야외특설무대 (창덕궁 앞),,,"3시간(1,2부 및 개막식 포함)",(사)한국국악협회,(사)한국국악협회,,무료
2373224,미정(추후 홈페이지 공지),09:00 ~ 18:00,,"02-802-7666, 7669","02-802-7666, 7669",전연령가능,,20200625,20200628,aT센터 제 2전시장,,,기간내자유,"(사)한국조리협회, (사)조리기능장려협회, (사)집단급식조리협회",(사)한국조리협회,,"미정(추후 홈페이지 공지)<br>
예매처: 사전예매(사무국:02-802-7666,7669) / 현장구매"
250609,,2019. 10. 5 ~ 10. 6,,02 - 753 -1145,02 - 753 -1145,전연령 가능함,,20191005,20191006,올림픽 공원 평화의 광장,,,기간내자유,사단법인 나눔국민운동본부,"후원 : 보건복지부, 사랑의 열매",,무료
2563687,,2019.12.13~2019.12.14,,02-6000-0820,02-6000-0820,전 연령 가능,,20191213,20191214,서울 코엑스 1층 Hall B,,,기간 내 자유,산업통상자원부,"한국산업기술평가관리원, 한국에너지기술평가원, 한국산업기술진흥원",,무료
607348,,,,02)580-3274,,전연령가능,,20201001,20201004,"유튜브, 네이버TV 전통공연예술진흥재단",,,기간내자유,문화체육관광부,"(재)전통공연예술진흥재단, 2020대한민국 전통연희축제 진위원회",,무료(유료체험부스만 소정의 체험비 필요)
2412052,,,,02-780-3939,02-780-3939,,,20201031,20201031,올림픽공원 평화의광장,,,기간내자유,"청년과미래, 한국인터넷신문협회",청년의날 조직위원회,,무료
2479634,,09:00-17:00,,02-511-154002-511-1540/ 010-2750-4432,02-511-1540/ 010-2750-4432,전연령가능,,20201113,20201115,한국농수산식품유통공사 AT Center,,,약 3-4 시간,"사단법인 세계음식문화연구원,사단법인 한국푸드디네이터협회.(사)로컬푸드운동본부,한국푸드방송","사단법인 세계음식문화연구원,사단법인 한국푸드디네이터협회.(사)로컬푸드운동본부,YFA",,"8,000원"
141220,,오전 10시-오후 7시,,02-313-9539,02-313-9539,전연령가능,,20200517,20200523,"예술의전당 한가람디자인미술관 제1,2,3전시실",,,1-2시간,대한민국국제포토페스티벌 조직위원회,,,"일반(20세 이상) 12,000원, 청소년(14-19세) 10,000원, 어린이(36개월-13세)"
2558683,,18시,,02-744-8066,02-744-8066,전연령 가능,,20201009,20201009,예술의전당 신세계스퀘어 야외무대,,,기간 내 자유,사단법인 한국무용협회,,,무료
1939636,,2019.10.12 / 11:00~19:00,,02-720-8776,02-720-8776,전연령 가능,,20191012,20191012,청계광장 일원,,,,(사)한국종교지도자협의회,,,무료
292961,,"오전 11시부터 11시 40분까지 <br />
오후 2시부터 2시 40분까지<br />
오후 3시 30분부터 4시 30분까지 <br /><br />* 월요일 휴무<br />",,다산콜센터 02-120,다산콜센터 02-120,전연령 가능,,20200101,20201231,서울 덕수궁 대한문,,지하철 1호선 시청역 2번 출구/ 지하철 2호선 시청역 3번 출구 나오면 바로 덕수궁 대한문,30분,덕수궁,,,무료
2433588,,"2018.10.12, 10.19, 10.26, 11.02",,02-751-0742,02-751-0742,전 연령 가능,,20191011,20191025,즉조당 앞,,,기간 내 자유,문화재청,,,무로 (덕수궁 입장료 별도)
1301487,,,,02-2270-1244,02-2270-1244,,,20200605,20201003,덕수궁 일원,,"<br />* 지하철 
1호선 (2번 출구), 2호선 (12번 출구) 덕수궁 방면
* 버스 : 시청 앞 하차<br />&nbsp;",약 1시간,한국문화재보호재단,덕수궁,,"무료 <br />* 
덕수궁 입장료 별도"
2601242,,2019.10.09,,02-905-4026,,전연령가능,,20191009,20191009,원당샘 공원 및 정의공주 묘역,,,약 5시간,도봉문화원,도봉한글잔치 추진위원회,,무료
1472205,,2019. 10. 12.(토) - 13.(일),,070-7462-1104,070-7462-1104,전연령 가능,,20191012,20191013,노량진수산물도매시장,,,기간내 자유,동작구축제추진위원회,,,프로그램별 상이
1684988,,12:00 ~ 20:00,,02-2241-6381~4,02-2241-6381~4,전연령가능,,20190928,20190928,지하철 4호선 한성대입구역 2번출구 분수마루,,* 지하철 4호선 한성대입구역 2번 출구,기간내자유,성북글로벌빌리지센터,성북구청,,부스별 음식 및 상품 가격 상이
808590,,,,1661-2000,,전연령 가능함,,20200905,20201115,롯데월드,,,자유,롯데월드,,,"롯데월드 홈페이지 <a href=""http://www.lotteworld.com/contents/contents.asp?cmsCd=CM0023"" target=""_blank"" title=""롯데월드 요금안내 페이지로 이동""><font color=""blue"">http://www.lotteworld.com</font></a>"
650452,,2019.11.23 ~ 2019.12.31,,1661-2000,1661-2000,전연령 가능함,,20191123,20191231,롯데월드 어드벤처,,"* 지하철 2호선, 8호선 잠실역 하차 후 지하광장 이용(4번 출구)<br />
* 잠실역 롯데월드 앞 하차
<br />  1) 지선버스 3217, 3313, 3314, 3315, 3414, 3415번
<br />  2) 간선버스 301, 360, 362, 730번
<br />  3) 공항버스 4노선, 606번",자유,롯데월드 어드벤처,,,자세한 요금정보는 홈페이지에서 확인
1333392,,"월~목 17:00, 20:00 / 금 14:00, 17:00, 20:00 / 토,일 13:00, 16:00, 19:00",,070-8780-3407,070-8780-3407,만 12세이상,"인터파크 1544-1555 <a href=""http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16000020""target=""_blank"" title=""인터퍼크 예매사이트로 이동""><font color=""blue"">http://ticket.interpark.com</font></a>",20200101,20201231,스타시티 콘텐츠룸,,* 지하철 4호선 혜화역 1번출구,120분,르메이에르,,,"일반석 30,000원"
630748,,,,02-514-9292,02-514-9292,연령제한없음,,20191002,20191007,한가람미술관,,"
* 지하철
1) 3호선 남부터미널(예술의전당)역에서 5번출구 
▶ 도보 이동 (약 5-10분 소요)
▶ 지선버스(초록버스), 예술의전당 셔틀버스 이용 (약 5분 소요)
2) 2호선 서초역 3번출구 지선버스(초록버스) 이용 (약 10분 소요)

* 버 스
1) 파랑(간선)버스
▶ 예술의전당 하차 406 번
▶ 남부터미널 하차 461, 641 번
2) 초록(지선)버스
▶ 예술의전당 하차 5413, 서초 11, 12, 17 번
▶ 남부터미널 하차 4423 번
<br>",기간내자유,"TV CHOSUN, 아트조선, 마니프조직위원회",,,"일반(대학생) 8,000원 /청소년 7,000원 / 어린이 6,000원"
1849841,,2019년11월2일(토) / 10:30 출발,,1566-1936,1566-1936,전연령 가능,대회 홈페이지,20191102,20191102,서울 상암동 월드컵공원 평화의광장,,"* 지하철 : 6호선 월드컵경기장역<br />
* 버스 :  271, 571, 470, 7011, 7013, 7715, 7016, 7719, 6715, 9711, 마포 08",약 2시간,서울신문,RUNKOREA,,무료(누구나 참여가능. 선착순 3천명)
2602756,,11:00~21:00,,02-1661-6925,02-1661-6925,전연령가능,,20200619,20200621,1F 야외행사장,,,기간내자유,가치공간,,,무료
2659594,,10:00~18:00,,02-6677-3477,,,,20200827,20200830,SETEC 전시장 전관,,,,메가쇼,,,"성인(만 19세 이상) : 5,000원<br>
홈페이지 사전등록 시 무료입장<br>
부모님 동반 입장 시 학생 무료입장"
2034306,사전 등록 시 할인,11:00 ~ 18:00,"실내외 자작 전시, 세미나, 워크숍, 플리마켓, 브랜드 물품 판매",02-2262-7316,02-2262-7316,전연령 가능,"<a href=""http://makerfaire.co.kr"" target=""_blank"" title=""새창 : 메이커 페어 서울 페이지로 이동"">http://makerfaire.co.kr</a>",20191019,20191020,문화비축기지(6호선 월드컵경기장역(성산) 2번 출구에서 도보 5분),,,4~5시간,㈜블로터앤미디어,㈜블로터앤미디어,"카트 어드벤쳐 레이싱, 거대 메이키 로봇 전시, 인공지능 동키카 레이싱 리그","1. 청소년 및 어른(14세~64세) - 사전 등록(4,000원), 현장 판매(8,000)<br>2. 어린이 (5세~13세) - 사전 등록(2,000), 현장 판매(4,000)<br>3. 유아 (4세 이하) - 사전등록(무료), 현장 판매(무료)<br>4. 경로우대자 (65세 이상) - 사전등록(무료), 현장 판매(무료)<br>5. 장애인, 국가유공자 및 기초생활수급자(연령구분없음)- 사전등록(무료), 현장 판매(무료)<br>* 단체 등록 없음, 경로우대자, 장애인, 국가유공자 및 기초생활수급자는 증명서 필히 지참<br><br>[할인정보]<br>- 사전등록 시 할인"
2552462,,10:00~18:00,,02-730-7191,02-730-7191,전연령 가능,,20200806,20200809,코엑스 B홀,,,기간내 자유,"(재)명원문화재단, (사)한국다도총연합회, (사)홍차협회",명원세계차박람회조직위원회,,무료 입장
2552469,초청장 다운로드 무료입장 가능,2019.09.06 ~ 2019.09.08,,02-2049-3325,02-2049-3325,전연령 가능,"홈페이지 참고 <a href=""http://mtm.modetour.com/ko"" target=""_blank"" title=""새창: 행사 홈페이지로 이동"">http://mtm.modetour.com/ko</a>",20190906,20190908,코엑스A&B1홀,,,기간내 자유,㈜모두투어네트워크,㈜모두투어네트워크,,"7,000원"
2383974,,13:00 ~ 17:00,,02-861-3020,02-861-3020,전연령 가능,,20191019,20191019,광화문광장 북측광장,,,기간내 자유,서울특별시한부모가족지원센터,02-861-3020 / hanbumo@seoul.go.kr,,
2045414,,12:00 ~ 22:00 ( ※상황에 따라 변동될 수 있음 ),,코엑스 전략사업팀 (02-6000-8120/1106),코엑스 전략사업팀 (02-6000-8120/1106),전연령 가능,,20191219,20191231,"코엑스 일대 (코엑스 광장, 코엑스 1층로비, 코엑스 K-POP 광장",,,기간내 자유,"한국무역협회, 강남구, 코엑스 MICE클러스터 위원회",,,무료(* 프로그램별로 구매비 발생 가능)
2556687,,,,061-900-2328~9,061-900-2328~9,,,20200926,20201130,온라인개최,,,,"한국문화예술위원회 / 국제펜클럽한국본부, 한국문인협회, 한국문학관협회, 한국소설가협회, 한국시인협회, 한국작가회의","협력 :  EBS, 재외동포재단, 종로문화재단, 한국구세군, 한국문학번역원 / 후원 : 문화체육관광부",,
2666774,,,,찾아가는공연 운영사무국 (02-3443-2695),,,,20200913,20201226,서울생활문화센터 서교,,,,서울특별시,서울특별시,,무료
