contentid,capacity,baby_carriage,credit_card,pet,age_range,guide,info_center,open_date,parking,rest_date,season,use_time,cultural_heritage,natural_heritage,archival_heritage
2453179,,없음,없음,없음,누구나,"프로그램 : 종근당 홍보, 국내외 의·약사 흐름 전시 관람<br />
교육 : 초·중학생 자유학기제",Tel: 070-7094-4510,,있음,국경일 및 공휴일,,"- 하절기(3~10월) 10:00~17:00<br />
- 동절기(11~2월) 10:00~16:00<br />
(국경일 및 공휴일 휴무)",0,0,0
1827189,,없음,없음,불가,,,1577-0606,,"05:00~22:00<br />
※ 계절 및 날씨 등에 따라 변경 가능",,,"05:00~22:00<br />
※ 계절 및 날씨 등에 따라 변경 가능",0,0,0
2611588,,없음,없음,없음,,,곰달래꿈마을 02-2620-3578,,,,,,0,0,0
749192,,불가,가능,불가,,,02-334-7878,,,,,,0,0,0
776082,,없음,없음,불가,,"[관문사 템플스테이] <br />
* 템플스테이 정기 프로그램(1박2일) : 매월 둘째, 넷째주 주말 
* 마음의 짐 내려놓기 : 마음의 휴식과 힐링이 함께 하는 프로그램 
- 프로그램 내용 : 사찰기본예절, 사찰안내, 점심공양, 연등만들기, 108염주 만들기, 스님과의 차담 등<br />
※ 자세한 내용은 관련 홈페이지 및 전화문의",02-3460-5300,,,연중무휴,,,0,0,0
126480,,불가,없음,없음,,,02-879-6521,,주차 가능,연중무휴,,,0,0,0
126513,,불가,없음,불가,,,02-879-6525,,있음,연중무휴,,,0,0,0
756580,200명 이상,불가,없음,가능,,,02-879-6561,2007년 12월,주차 가능,연중무휴,,24시간,0,0,0
756594,200명 이상,불가,없음,없음,,,관악구 공원녹지과 02-879-6520,1997년 3월,있음(153대),연중무휴,,24시간,0,0,0
756590,200명 이상,없음,없음,없음,,,02-879-6561,2007년 11월,,연중무휴,,24시간,0,0,0
126916,,없음,없음,불가,,,02-582-8609,,있음,연중개방,,,0,0,0
1605990,,없음,없음,없음,,,02-3396-5843,,,,,,0,0,0
2637918,,없음,없음,없음,,,02-2267-0291,,,,,,0,0,0
1366921,공연 1회 60명,없음,없음,불가,,,02-476-0722,,,월요일,,4월~10월 10:00 ~ 22:00,0,0,0
126512,,없음,없음,없음,,,02-3700-3900,,,매주 화요일,,,0,0,0
775394,,없음,없음,없음,,,서울시 다산콜센터 02-120,2009년 8월 1일,없음,연중무휴,,24시간 개방,0,0,0
2500218,,없음,없음,없음,,강좌예약 : 방문 및 전화접수(02-312-1100),02-312-1100,,,,,평일 09:00 ~ 18:00,0,0,0
129502,,없음,없음,불가,,,"경복궁 02-3700-3900<br />
광화문 02-3700-3901<br />
중구 문화재시설관리팀 02-3396-5841",,없음,연중무휴,,24시간,0,0,0
252528,,없음,없음,불가,,,02-2148-1842,,있음,,,,0,0,0
250361,,없음,없음,없음,,,02-2148-1842,,,,,,0,0,0
2553960,,없음,없음,없음,누구나,"전시 : 1960~90년대 구로공단 노동자들의 스토리 상설전시<br />
체험학습 프로그램 : 노동자들의 삶과 가치를 체험으로 터득<br />
청소년 문화프로그램 : UCC공모전, 연극교실<br />
민주시민교육 : 찾아가는 민주시민교육<br />
신청방법 : http://www.geumcheon.go.kr/ > 교육·문화 > 구로공단노동자생활체험관 > 이용마당 > 예약안내 참고 후 전화 예약",Tel: 02-830-8426 / Fax: 02-858-8425,,없음,"매주 일요일, 1월1일, 설,추석 연휴",,화~일 10:00~17:00,0,0,0
2591803,,없음,없음,없음,,,"상업단지조합 02-2676-9381<br />
주차장 02-2633-0081",1981년 5월,"* 지상 주차장 : 1,600대<br />
* 지하 주차장 : 400대<br />
* 2층 옥상 주차장 : 800대<br />
* 3층 옥상 주차장 : 1,200대<br />
* 총 주차대수 : 4,000대",,,판매업체마다 상이함,0,0,0
2592394,,없음,없음,없음,,,구로구청 문화관광과 02-860-3419,,,,,,0,0,0
2357761,,없음,없음,없음,,,02-2155-6860,,,,,,0,0,0
126824,,불가,없음,없음,,,02-2600-4183,1993년 10월 31일,있음,연중무휴,,,0,0,0
127379,,불가,없음,가능,,,02-3425-5252,,,,,,0,0,0
2452856,"미취학아동 및 초등학생 10~45명, 중학생/성인 10~60명 (견학 최소 인원10명이상/신청 후 접수 확인 필요)",없음,없음,없음,단체 (학생/일반),"·프로그램 : 정수센터 소개, 홍보동영상 시청, 정수처리공정 견학/문화재 견학(견학 대상별로 상이한 프로그램 운영)
*신청방법 : http://arisu.seoul.go.kr/ > 관람/견학 바로가기",Tel: 02-3146-5415/ Fax: 02-3146-5409,,있음(요일제 전자태그 부착차량만 가능),주말 및 공휴일,,"평일 10:00~17:00 / 10:00, 14:00 (1일 2회 운영 및 협의 가능)",0,0,0
126524,,불가,없음,불가,,,02-996-0419,,있음,묘지: 연중무휴 / 기념관: 월요일(월요일이 공휴일인 경우 그 다음날 휴관),,"*묘지<br />
- 여름(3월-10월) 06:00 ~ 18:00<br />
- 겨울(11월-2월) 07:00 ~ 18:00<br />
<br />
*기념관 및 유영봉안소<br />
- 여름(3월-10월) 09:30 ~ 17:30<br />
- 겨울(11월-2월) 09:30 ~ 16:30",0,0,0
2608977,,없음,없음,없음,누구나,"·교육 : 전문가, 일반인, 외국인, 장애인, 청소년, 찾아가는 교육
·행사 : 우리민속한마당, 문화행사, 세시풍속행사
※ 자유학기제 연계교육","Tel: 02-3704-3114
Fax: 02-3704-3113",,,,,"연중, 3~10월 09:00~18:00 / 11~2월 09:00~17:00",0,0,0
126521,,불가,없음,불가,,"[견학프로그램] 단체 참관학습, 나라사랑체험학습, 나라사랑체험활동, 호국안보현장견학프로그램, 수학여행 참관교육",02-813-9625,,"승용차량 : 정문으로 진입, 주차안내원의 안내에 따라 지정 장소에 주차<br />
대형차량 : 동문으로 진입, 선양단지 주차장에 주차",,,"[개방시간] 06:00~18:00<br />
[견학시간] 09:00~17:00",0,0,0
1710166,,없음,불가,불가,,"프로그램 안내 <a href=""http://seoncenter.templestay.com/""target=""_blank"" title=""새창: 국제선센터"">http://seoncenter.templestay.com/</a>",02-2650-2200,,"있음(B2, B3 주차장)",,,,0,0,0
2591805,,없음,없음,없음,,"개발 예정 : 아시아 문화축제, 국제예술문화 공연, 야외 상설 전시, 아시아 플리마켓, 디자인 벤치, 포토존 등 관련 문화 콘텐츠",,,,,,,0,0,0
126827,,불가,없음,불가,,"- 국회참관안내<br />
- 국회방청안내<br />
※  홈페이지 신청안내 참고",대한민국 국회 02-788-2114,,국회 참관객 차량은 국회 둔치 주차장 이용,,,,0,0,0
2591809,,없음,없음,없음,,,구로구 녹색도시과 02-860-3097,,,,,,0,0,0
1606052,,없음,없음,없음,,,02-434-1717,,,,,,0,0,0
298109,,없음,없음,불가,,,"종무소 02-395-9911
템플스테이 02-395-9955",,주차 가능,연중무휴,,,0,0,0
2553946,,없음,없음,없음,전 연령,"·프로그램 : 옛 인쇄공장을 리모델링한 창작공간으로, 입주프로그램과 시민대상 문화예술교육 프로그램 운영<br>
·신청방법 : 방문",Tel: 02-807-4800,,있음,,,"09:00~18:00(토·일·공휴일 휴무, 전시 있을 경우 상시 운영)",0,0,0
2655928,,없음,없음,없음,초등고학년~성인,"1) 보고 듣고 느끼며 걷는 기억의 길<br />
2) 기억의 터 상설해설프로그램",02-761-2588,,,"혹서기(7,8월) 및 우천시",,10:00-16:00,0,0,0
127375,"공원입장예약 시간대별로 회당 4~50명, 프로그램 15~30명이내",없음,없음,없음,,"매달 다양한&nbsp;유/무료&nbsp;프로그램 운영중<br>
 (신나는 길동생태학교, 유아생태학교, 일요가족나들이, 천연비누만들기, 아빠랑 함께하는 자연체험 등)<br> ※ 예약, 요금은 홈페이지 참조",길동생태공원 02-489-2770,1999년 4월 28일,"길동생태공원내에는 별도의 주차장이 없으므로 공원 맞은편 길동생태문화센터 주차장 이용<br>
※ 주차장이 협소함으로 가능하면 대중교통을 이용 바람<br>
※ 요일제(전자태그)차량만 주차 가능",매주 월요일,,입장 10:00~17:30(동절기 17:00),0,0,0
128866,,없음,없음,없음,,,02-3672-5945,,"있음(단, 주차장이 혼잡하니 되도록이면 대중교통 이용)",연중무휴,,,0,0,0
2373206,,없음,없음,없음,,,02-2133-2597,,,,,,0,0,0
2611658,,없음,없음,없음,,"* 목공체험(전화문의)<br />
* 양천구 평생학습관 홈페이지 메인 화면 공지사항에 '나무마을목공반 운영프로그램안내' 필독",나무마을목공방 02-2620-4736,,,월요일,,10:00~17:00(월요일 휴관),0,0,0
1827190,,없음,없음,가능,,,국가보훈처 1577-0606,,,,,,0,0,0
129501,,불가,없음,없음,,,02-743-7985~6,2002년 6월 12일,있음,연중무휴,,09:00~17:00,0,0,0
1604941,,없음,없음,없음,,,02-2148-1822,,,,,,0,0,0
699222,,없음,가능,불가,,,,,,,,대부분 상점들이 24시간 영업,0,0,0
1827191,,없음,없음,불가,,,1577-0606,,"있음 <br />
※ 운영시간 09:00~22:00",연중무휴,,"05:00~22:00<br />
※ 계절 및 날씨 등에 따라 변경 가능",0,0,0
748018,,불가,없음,불가,,,02-752-1913,,없음(주변 유료 주차장 이용),,,,0,0,0
1603482,,없음,없음,없음,,,02-798-3771,,있음,,,,0,0,0
128776,,없음,없음,없음,,,"주간 02-753-2403<br />
야간 02-757-1308",,,,,"10:00~23:00 (금요일, 토요일, 휴일 전날은 상황에 따라 1시간 연장운행)",0,0,0
1603336,,없음,없음,없음,,,02-3783-5900,,,연중무휴,,,0,0,0
126747,,가능,없음,없음,,"체험안내 <a href=""https://www.hanokmaeul.or.kr/ko/h/exp
""target=""_blank"" title=""새창: 남산골한옥마을 "">
https://www.hanokmaeul.or.kr/ko/h/exp</a>","공연 02-2261-0500<br />
체험/교육 02-2261-0517<br />
전통혼례 02-2263-0854<br />
야외대관 02-2264-4412",,"서울시공영주차장, 대한극장 주차장, 동국대 영상센터 주차장 <br />
※남산골한옥마을은 주차장이 협소하므로 대중교통을 이용해주시기 바랍니다.",월요일,,"하절기(4~10월) 09:00~21:00 <br />
동절기(11~3월) 09:00~20:00 <br />
* 전통정원 개방시간 : 24시간 개방",0,0,0
126485,,없음,없음,없음,,,남산도시자연공원관리사무소 02-3783-5900,,있음(문의 02-318-5575),연중개방,,상시개방,0,0,0
126535,,가능,없음,불가,,,02-3455-9277,,,연중무휴,,"월~금/일 : 10:00 ~ 23:00<br />
토요일 : 10:00 ~ 24:00",0,0,0
2435104,180명,없음,가능,없음,,"* 한복체험 : 체험시간 180분 / 체험비용 1인 18,000원 부터(의상+장신구+셀프촬영)<br />
* 혼례체험 : 체험시간 30분 / 체험비용 1인 100,000원 부터(혼례복+장신구+포토엽서+포토그래퍼 촬영 사진 원본 CD) <br />
※ 한복 체험은 1인 1벌 체험 가능 / 대여시간 초과시 추가요금 발생",한복문화체험관 02-772-9388,2016-08-18,남산공원의 생태환경보호를 위하여 일반 승용차량 통행 제한,연중무휴,,10:00 ~ 19:00,0,0,0
298341,,없음,없음,불가,,,내원사 02-941-2011,,북한산국립공원 주차장,연중무휴,,,0,0,0
2638475,,불가,가능,가능,전연령,비상시적 워크숍 프로그램 운영(노들섬 공식 홈페이지 및 SNS계정에 사전 안내),노들섬운영사무국 02-749-4500,2019년 09월 28일,주차가능,"매주 월요일 전체휴관, 구정/신정/추석 연휴 당일",,"* 야외공간 24시간 개방<br />
* 실내공간 11:00-22:00 (월요일 전체 휴관)",0,0,0
2650772,,없음,없음,없음,,,02-794-5579,,,,,,0,0,0
2456756,,없음,없음,없음,,"[이용안내]<br />
<br />
1. 100cm 이하는 체험에 제한이 있을 수 있습니다.<br />
2. 13세이하 어린이는 반드시 성인 보호자의 동반 입장이 필수입니다.<br />
3. 임산부,노약자 및 장애인 등은 일부 체험에 제약이 있을 수 있습니다.<br />
4. 바지 착용을 권장합니다.<br />
5. 놀이똥산은 일부 역동적인 체험을 하는 공간이 구성되어 있습니다. 구조물에 의한 안전사고가 발생 할 수 있사오니 만전을 기해주시기 바랍니다. 체험자 부주의로 인한 사고는 책임지지 않습니다.<br />
6. 현장 스탭의 안전을 위한 지침 및 안내를 반드시 숙지하여 주시기 바랍니다.<br />
7. 체험은 1회이며, 중도포기 및 체험 완료 후 재 입장은 불가합니다.<br />
8. 놀이똥산 내 유모차반입은 불가합니다.",02-2034-0606,,"[놀이똥산이용권구매시] 건물내 주차는 1시간 무료로 이용이 가능하며, 추가요금 관련해서는 현장 문의 부탁드립니다.<br />
<br />
[런닝똥이용권구매시] 건물내 주차는 2시간 무료로 이용이 가능하며, 추가요금 관련해서는 현장 문의 부탁드립니다.",연중무휴,,10:00 ~ 20:00(입장마감 19:00),0,0,0
1603149,,없음,없음,없음,,,02-577-5800,,,,,,0,0,0
2392535,2분 간격 한 팀씩 입장,없음,가능,없음,,"* EPISODE 1 : 해치의 습격<br />
<br />
※ 최소 2인 이상 참여가 가능한 프로그램<br />
※ 5세 미만은 입장이 불가 (모든 어린이는 보호자 동반 입장이 필수)<br />
※ 프로그램의 특성상 역동적인 동작이 많으므로 남녀 구분없이 바지 착용 권장",1544-8506,,,연중무휴,,11:00 ~ 18:00,0,0,0
299978,,불가,없음,불가,,,02-813-7425,,,연중무휴,,,0,0,0
282011,,없음,가능,불가,,,02-2249-0336,,"있음(상가주차장, 공영주차장, 지하주차장)",일요일 및 공휴일,,,0,0,0
126803,,불가,없음,불가,,,02-711-0933,,있음,,,,0,0,0
299980,,없음,없음,불가,,,대각사 02-744-4502,,주차 가능(주차 공간 협소),연중무휴,,일출시~일몰시,0,0,0
2402981,,없음,없음,없음,,,02-2670-1419,,,,,,0,0,0
1602451,,없음,없음,없음,,,02-3423-6283,1989년 11월 23일,주차 가능,연중무휴,,,0,0,0
300076,,없음,없음,불가,,,02-583-1475,,주차 가능,,,,0,0,0
1605948,,없음,없음,없음,,,02-2148-1822,,,,,,0,0,0
126534,,불가,없음,없음,,,02-2148-1853,,주차시설이 많지 않고 골목이 좁아서 대중교통을 이용하는 것이 좋다.,연중무휴,,,0,0,0
2606164,,없음,없음,없음,,,02-3396-5842,,,,,,0,0,0
127015,1000명 이상,불가,없음,불가,,,02-730-6611,,있음,매주 일요일,,월~토 11:00~16:00,0,0,0
2373223,,없음,없음,없음,,,02-3396-5842,,,,,,0,0,0
733255,,없음,가능,불가,,,02-404-2700,,"있음(약 7,000대 주차 가능)",,,"* 찜질방/사우나<br />
- 주간 : 05:00~20:59<br />
- 야간 : 21:00~04:59<br />
- 주말, 공휴일 : (토)05:00~(월)04:59",0,0,0
126509,,없음,가능,불가,,,"사무실 02-771-9951<br />
안내실 02-751-0734<br />
석조전 안내실 02-751-0753",,없음,매주 월요일,,"입장시간 : 09:00~20:00<br />
관람시간 : 09:00~21:00<br />
※ 야간 개방 오후 21:00 까지<br />
※ 매주 월요일 휴궁",0,0,0
1605981,,없음,없음,없음,,,02-771-9951,,,,,,0,0,0
129186,,없음,없음,가능,,,02-120,,없음,연중개방,,상시 가능,0,0,0
126481,,불가,없음,불가,,,031-828-8000,,있음,연중무휴,,,0,0,0
1955511,,없음,없음,없음,,"춘향제(제향)<br />
추향제 및 추모음악회(제향·전통음악공연)",02-2091-2262,,,,,,0,0,0
126486,,없음,없음,없음,,산책로,02-543-2558,1973년 11월 10일,,연중무휴,,24시간,0,0,0
126502,,없음,없음,불가,,,02-993-3161,,,연중개방,,,0,0,0
2611730,,없음,없음,없음,,"도시농부학교, 도시농부체험 등 행사진행<br />
체험 및 프로그램 문의 02)2620-3578",도시농업공원 02-2620-3578,,,,,,0,0,0
750863,,없음,없음,불가,,,02-936-5936,,주차 가능,연중무휴,,,0,0,0
1828571,,없음,없음,불가,,,02-365-4388,,"있음<br />
※ 주차문의 02-312-6218",연중무휴,,상시 개방,0,0,0
127425,,없음,없음,불가,,,02-120,,있음,연중무휴,,상시개방,0,0,0
1187220,,불가,없음,없음,,,,,없음,,,08:00~19:00,0,0,0
2470006,,없음,없음,없음,누구나,"* 전시(서울건축문화제, 백남준 쇼 등) /행사(헤라 서울패션위크, 농부시장 등)<br>
* 건축물 투어<br />
- DDP 현장 참여 투어(화~일 10:30, 14:30 / 60~80분 / 8,000원)<br />
- DDP 단체(20인 이상) 예약 투어(화~일 10:00~19:00 / 60~80분 / 성인 8,000원, 학생 5,000원 / 수용인원 20~40명)<br />
* DDP 자유 투어(오디오 가이드 투어 / 무료)<br />
* 키즈 프로그램(디자인 놀이터, 정규 공방) / 화~일요일 10:00~18:00 / 가격 다양",02-2153-0000,,있음,,,화~일 10:00~19:00 (월요일 휴무),0,0,0
1906334,,없음,없음,없음,,,02-2266-7188,2009년 10월 27일,,[공원] 연중무휴<br />[관람시설] 매주 월요일,,"[공원] 24시간 개방<br />
[살림터] 평일 10:00 ~ 21:00 / 주말·공휴일 10:00 ~ 22:00<br />
[장미정원] 점등 19:00, 소등 00:00<br />
[알림터] 10:00 ~ 21:00<br />
[배움터] 10:00 ~ 19:00 (수,금요일 10:00 ~ 21:00)<br />
[동대문역사관 1398] 10:00 ~ 18:00<br />
※ 휴관 1월1일, 매주월요일<br />
[동대문운동장 기념관] 09:00 ~ 19:00<br />
※ 휴관 1월1일, 매주월요일",0,0,0
1603677,,없음,없음,가능,,,02-2148-1842,,,,,,0,0,0
599661,,없음,가능,불가,,,드래곤힐스파 02-792-0001,,주차 가능,연중무휴,,24시간(주간 05:00~20:00 / 야간 20:00~05:00),0,0,0
2452881,VR DEVELOPING BED 정원 20명,불가,불가,불가,누구나 (VR DEVELOPING BED 14세 이상),"·ICT 기술 관련 전시 및 체험공간 : ICT 창조관, ICT 탐구관 등<br />
·VR DEVELOPING BED (전시 : 홀로티브 글로벌, 이노시뮬레이션(VR 스키체험), 픽스게임즈(VR 레이싱 시뮬레터) 등 / 살린 : VR기술을 이용한 양방향 프로야구 중계영상 등 자세한 프로그램은 사이트 참고)",Tel: 02-2132-0500~2,2008년 04월 30일,있음 (대형관광버스 이용 불가),"매주 일요일, 설날(음,양력), 추석연휴 휴관",,"09:30~18:00 (매주 일요일, 신정, 설, 추석 연휴 휴무)",0,0,0
2390957,,없음,없음,가능,,,라온보관소 070-8884-1251,2014년 12월,,명절 당일,,"일-목요일 09:30 - 21:30 <br />
금-토요일 09:30 - 23:30",0,0,0
2440925,,없음,없음,없음,,,1544-7755,,,,,,0,0,0
2500214,,없음,없음,없음,,,02-3153-8353,,,,,,0,0,0
126498,,가능,가능,불가,,"* 캐스트 체험(직업제험 프로그램)<br /> 
* 운영기간 : 주말 및 공휴일<br />
* 체험시간 : 오후 2시50분 ~3시50분<br />
* 롯데월드 어드벤처 이용손님<br />
* 7~10세 어린이손님<br />
* 체험일 3일전까지(취소는 3일 전까지)<br />
* 커스튬 사이즈 105cm~130cm<br />
<br />
* 마스크 어린이스타(유료)<br />
* 마스크크루즈 패밀리 스타<br />
* 펀!펀! 앨리스<br />
* 렛츠드림 나이트 퍼레이드<br />
* 롯데월드 빅밴드 스타<br />
※ 공연참여 프로그램",1661-2000,,있음,연중무휴(기상상태에 따라 매직아일랜드 일부 어트랙션 중단 가능 / 기상상태와 별개로 현장상황에 따라 운휴/중간점검),,"운영시간 10:00~21:00<br />
야간개장 16:00~<br />
※ 요일에 따라 마감시간이 다름으로 홈페이지 확인 필수",0,0,0
2492348,,없음,없음,없음,전연령,,1661-2000,,있음,연중무휴,,"* 일~목 : 11:00 ~ 21:00<br />
* 금,토,공휴일 전일 : 11:00 ~ 22:00<br />
※ 티켓 발권 및 입장 마감시간<br />
일~목 20:00 / 금,토,공휴일 전일 21:00",0,0,0
2003909,,없음,가능,없음,,,02-3213-5000,,있음,시설에 따라 차이가 있으므로 홈페이지 참고,,※ 공식 홈페이지 참고,0,0,0
2591813,,없음,없음,없음,,,02-860-2278,,,,,,0,0,0
126487,,불가,없음,가능,,,02-2148-4158,1982년 04월 29 일,없음,연중무휴,,24시,0,0,0
2553929,,없음,없음,없음,누구나,"관람 : 문화마당, 파빌리온, 공연장, 탱크원형, 복합문화공간 등<br />
신청방법 : 방문",02-376-8410,,있음,월요일(공원은 연중무휴),,프로그램별 상이,0,0,0
753558,,없음,없음,없음,,,02-3153-8365,1970년 5월,,,,,0,0,0
2373247,,없음,없음,없음,,,02-3153-8372,,,,,,0,0,0
2633907,,없음,없음,불가,전연령,,02-3153-5800,2017.11.15,주차가능,매주 월요일/법정공휴일,,평일/주말 09:00~22:00,0,0,0
304790,,없음,없음,없음,,,02-955-3719,,,연중무휴,,,0,0,0
1395466,,없음,없음,없음,,,성북구 문화체육과 02-2241-2632,,,연중무휴,,09:00~18:00,0,0,0
2650756,,없음,없음,없음,,,02-434-3337,,,,,,0,0,0
1115203,,없음,없음,없음,,,공원녹지과 02-2094-2357,,,연중무휴,,,0,0,0
127307,,불가,없음,불가,,,02-3153-8372,,,연중무휴,,,0,0,0
2373320,,없음,없음,없음,,,02-2670-3717,,,,,,0,0,0
264311,,없음,없음,없음,,,명동관광정보센터 02-778-0333,,,,,,0,0,0
1957600,,없음,없음,없음,,,02-3396-4622,,백화점과 박물관 주차장 이외에도 곳곳에 건물 주차장과 공용 주차장 이용 가능,,,,0,0,0
2583158,,없음,없음,없음,,"* 한글 스탬프 체험 - 매주 화, 수, 목 14:00~16:00",명동관광정보센터 02-778-0333,2013.11.29,,"설날, 추석 연휴 당일 휴무",,"* 센터 운영시간 09:00~20:00<br />
* 기념품 판매관 10:30~19:30(주말 11:00~18:00)",0,0,0
1604652,,없음,없음,없음,,,02-3700-3900,,,,,,0,0,0
250350,,불가,없음,없음,,,02-3396-5842,,,연중무휴,,,0,0,0
753981,,없음,없음,가능,,,02-2155-6860,2003년,없음,연중개방,,24시간,0,0,0
128872,,없음,가능,불가,,"템플스테이 안내 <a href=""http://www.myogaksa.net/main_2k.html""target=""_blank"" title=""새창: 템플스테이 "">http://www.myogaksa.net/main_2k.html</a>",02-763-3109,,주차 가능,연중무휴,,,0,0,0
1603543,,없음,없음,없음,,,02-2148-2841,,,,,,0,0,0
126531,,불가,없음,없음,,,02-330-1121,,없음,,,,0,0,0
2611895,,없음,없음,불가,,"무중력지대 양천 <a href=""http://www.yangcheon.go.kr"" target=""_blank"" title=""새창:무중력지대 양천 "">http://www.yangcheon.go.kr</a><br />
페이스북 <a href=""https://ko-kr.facebook.com/youthzone3/"" target=""_blank"" title=""새창:페이스북 
"">https://ko-kr.facebook.com/youthzone3/</a><br />
대관안내 <a href=""https://www.spacecloud.kr/space/12491"" target=""_blank"" title=""새창:대관안내 
"">https://www.spacecloud.kr/space/12491</a>",무중력지대 양천 02-2646-2030,,없음,"일요일, 공휴일",,"평일 : 오전 10시~오후 10시<br />
토요일 : 오전 10시~오후 5시<br />
※ 일요일 및 공휴일은 휴관",0,0,0
2650230,,없음,없음,없음,,,02-2676-4300,,,,,,0,0,0
309291,,불가,없음,불가,,,02-391-2062,,,연중무휴,,,0,0,0
250364,매 회 100명 수용가능,없음,가능,가능,전연령 관람 가능(각 상시프로그램은 상황에 따라 연령제한 있음),"* 공간투어 프로그램(비용 無, 체험시간)",02-3407-3500,2011년 8월 11일(목),"주차 불가, (롯데마트 서울역점 주차장 이용 가능 * 유료)","월요일, 1월 1일",연중,"오전 10:00-19:00<br />
매달 마지막 주 수요일 '문화가 있는 날' 21시까지 연장 운영<br />
* 관람시간 30분 전 입장 마감",0,0,0
