contentid,discountinfofood,lcnsno,credit_card,discount_info,rep_menu,info_center,kids_facility,open_date,open_time,packing,parking,reservation_info,rest_date,scale,seat,smoking,treat_menus
2544579,"※ 종로구청 연계 한복음식점 : 한복입고 방문시 탕수육&짜장면&짬뽕 50%할인 이외 다른메뉴 10%할인 (딤섬 및 음주류 제외)",20160025778,가능,,딤섬,02-731-2502,0,,11:00-23:00(브레이크타임 15:00-17:00 / 라스트오더 22:30),,가능,전화 예약 문의(02-731-2502),,,,금연,금용문전가복 / 우럭튀김 / 차돌짬뽕 / 삼선짜장 / 딤섬류 / 금용문 중식코스 / 매운새우돈육말이 외
2029960,,20130033444,가능,,갈비찜+보리굴비 한상,02-710-7777,0,2013년 11월,점심 11:30 ~ 15:00 <br /> 저녁 17:00 ~ 21:30,일부 메뉴 포장 가능,주차 가능,전화 예약 가능 (02-710-7777),명절,,,모두 금역석,한상차림 / 갈비찜 / 떡갈비 / 보리굴비 / 어탕수
1120046,,19970025247,가능,,"복매운탕, 복지리탕",02-739-9392,0,1980년 5월,10:00 ~ 22:00,포장 불가,,전화 예약 문의 (02-739-9392),연중무휴,,,모두 금연석,생복매운탕 / 생복지리 / 생복수육 / 생복찜 / 아구찜
132920,,19930076265,가능,,설렁탕,02-2666-0666,0,,11:00 ~ 22:00,일부메뉴 포장 가능,주차 가능,전화 예약 문의 (02-2666-0666),연중무휴,,,모두 금연석,한우꽃등심 / 한우설화살 / 한우모듬생고기 / 돼지갈비 / 삼겹살 / 김가네도가니탕 / 김가네설렁탕 외
714209,,19920091438,가능,,해물칼국수 / 바지락칼국수,02-817-8856,0,,11:30 ~ 21:30,,주차 가능,전화 예약 가능 (02-817-8856),명절연휴,,,모두 금연석,해물칼국수 / 바지락칼국수 / 들깨수제비 / 보리비빔밥 외
2642367,,20170033016,없음,,김밥,02-796-1439,0,,09:00-21:00,,,,,,,금연,김밥
2653001,,19830025217,없음,,보쌈,02-720-6436,0,,8:30-15:00(라스트오더 14:00)/ 16:00-21:30(라스트오더 20:30),,,,,,,금연,보쌈
834894,,20010025049,가능,,냉면,02-762-4407,0,1962년 01월 27일,10:30 ~ 21:00,가능(일부 메뉴),주차 가능(3대),전화 예약 가능 (02-762-4407),명절연휴,,,모두 금연석,냉면 / 만두 외
403407,,20050025579,가능,,양식 코스요리,02-734-5233,0,,12:00 ~ 22:00 (브레이크타임 15:00 ~ 18:00),,주차 가능,전화 예약 가능 (02-734-5233),일요일,,,모두 금연석,
2624898,,20170029258,없음,,함박스테이크,02-310-5169,0,,11:00 ~ 21:30 (주문마감 21:00),,,,백화점 쉬는 날 / 명절연휴(전화문의),,,,함박스테이크 / 우나기벤토 / 민물장어덮밥 외
2653002,,20110025719,없음,,커피,02-2279-1220,0,,10:00-17:00,,,,,,,금연,커피
2623599,,20160098216,없음,,꼴라주 오리지널 함박스테이크,02-3479-1027,0,,11:00 ~ 클로징타임 없음 (주문마감 21:00),,,,백화점 쉬는 날,,,,꼴라주 오리지널 함박스테이크 / 안심스테이크 / 양갈비스테이크 / 샐러드 / 부야베스 / 세트 메뉴 외
2382657,,20110106914,가능,,독도꽃새우 / 독도새우모듬,02-501-2050,0,,11:00 ~ 06:00,가능,주차 가능(20대),전화 예약 문의 (02-501-2050),연중무휴,,,모두 금연석,독도꽃새우 / 독도새우모듬 / 독도닭새우 / 해물모듬 / 죤슨탕 / 가리비찜 외
2525487,,20190107172,가능,,능이버섯한정식,02-518-4322,0,,11:30 ~ 21:30 (브레이크타임 14:30 ~ 17:00),가능(일부 메뉴),주차 가능,전화 예약 문의 (02-518-4322),연중무휴,,,모두 금연석,능이버섯한정식 / 능이백숙 / 능이갈비찜 외
2670615,,19840069086,없음,,나주곰탕,02-336-6824,0,,24시간,,가능,가능,명절당일,,,금연,나주곰탕
133329,,19830025014,가능,,양념갈비,02-742-7470,0,,11:30 ~ 22:00,가능,주차 가능,전화 예약 문의 (02-742-7470~2),연중무휴,,,모두 금연석,양념갈비 / 생갈비 / 불고기 / 생등심 외
1998599,,19980042326,가능,,파전,02-968-6019,0,,00:00 ~ 24:00,가능(일부 메뉴),,전화 예약 문의 (02-968-6019),연중무휴,,,모두 금연석,파전 / 닭볶음탕 / 제육볶음 외
581248,,19830076136,가능,,한우 꽃등심,02-2660-9010,0,,12:00 ~ 21:30 (주중 브레이크타임 15:00 ~ 18:00),,주차 가능,전화 예약 문의 (02-2660-9010),연중무휴,,,모두 금연석,한우 꽃등심 / 한우특선 양념 대갈비 / 해산물 정식 / 양념갈비 정식 외
2653723,,20000025062,없음,,녹두빈대떡,02-763-9515,0,,15:00-23:00(라스트오더 22:30),,,,,,,금연,녹두빈대떡
2642679,,19780025035,없음,,낙지볶음,02-765-3119,0,,10:00-22:00(라스트오더 21:00),,,가능,일요일,,,금연,낙지볶음
2663457,,20070086147,가능,,산낙지초무침 /  연포탕,02-780-7741,0,,,가능,,전화 예약 가능 (02-780-7741),일요일 / 명절당일,,80석,모두 금연석,산낙지초무침 / 연포탕 / 산낙지볶음 외
2643023,,20130107625,없음,,삼겹살,02-3443-6466,0,,16:30-01:00(라스트오더 23:30),,가능,가능,,,,금연,삼겹살
2476801,,20130029232,가능,,원조 장칼국수,02-778-0153,0,2015-06-01,11:00 ~ 22:00 (토요일 11:00 ~ 15:00),가능,,전화 예약 문의 (02-778-0153),일요일 / 공휴일,,,모두 금연석,원조 장칼국수 / 크림 장칼국수 / 명품한우 차돌 장칼국수 / 왕새우 튀김 / 모듬 고로케 / 족발 외
2030281,,20060025054,가능,,빨콩 떡볶이,02-723-7775,0,,11:30 ~ 21:00 (주문마감 20:30),가능(일부 메뉴),,전화 예약 가능 (02-723-7775),월요일,,,모두 금연석,빨콩 떡볶이 / 시래기 떡볶이 / 상추튀김 / 비빔당면 / 못난이 주먹밥 외
232231,,19970029338,가능,,추어탕,02-778-6727,0,,10:00 ~ 22:00,,,전화 예약 문의 (02-778-6727),명절 휴무,,,모두 금연석,유황오리 / 추어탕 / 돼지갈비 / 삼겹살 외
135679,,20000029778,가능,,산채비빔밥 / 샐러드 돈까스 비빔밥,02-754-1978,0,,11:00 ~ 22:00 (주문마감 21:00),,주차 가능,전화 예약 문의 (02-755-8775),명절연휴,,,모두 금연석,산채비빔밥 / 샐러드 돈까스 비빔밥 / 왕돈까스 / 부추전 / 도토리묵 야채무침 외
2669957,,20150029745,없음,,삼겹살,02-3789-9721,0,,11:00-23:00,,가능,가능,"매월 둘째,넷째 일요일",,,금연,삼겹살
2624573,,20150029680,없음,,계절식,070-7500-8640,0,,07:30 ~ 19:00,,,,토요일 / 일요일 / 공휴일,,,,계절식
751212,,19960094673,가능,,순대,02-886-9198,0,,12:00 ~ 01:00,가능,주차 가능(전화문의),,명절연휴,,,모두 금연석,순대 / 순대곱창 / 곱창볶음 외
2549901,,19960105179,가능,,추어탕,02-555-7077,0,,11:00 ~ 21:00,,,전화 예약 문의 (02-555-7077),매주 일요일 및 명절 당일,,,모두 금연석,"장어구이, 각종 모듬전 등"
678522,,20040120382,가능,,버섯추어탕,02-473-6673,0,,06:30 ~ 22:00,가능(일부 메뉴),주차 가능,전화 예약 가능 (02-473-6673),연중무휴,,,모두 금연석,버섯추어탕 / 추어정식 / 추어군만두 외
2653009,,19760025039,없음,,굴국밥,02-764-4858,0,,05:00-22:00(라스트오더 21:00),,,,,,,금연,굴국밥
836350,,19890029009,가능,,생왕갈비,02-756-4084,0,,11:30 ~ 22:00,,,전화 예약 문의 (02-756-4084),명절연휴,,104석,모두 금연석,생왕갈비 / 양념왕갈비 / 꽃등심 / 매운갈비찜 / 육회 / 도가니탕 / 갈비탕 / 곰탕 / 돌솥비빔밥 / 냉면 외
134687,,19910098435,가능,,새우딤섬,02-517-4552,0,,10:00 ~ 22:00 (브레이크타임 15:00 ~ 17:00),가능(일부 메뉴),주차 가능,전화 예약 가능 (02-517-4552),명절연휴(전화문의),,,모두 금연석,새우딤섬 / 동파육 / 난자완스 / 삼겹살볶음 / 탕수육 / 짜장면 / 해물짬뽕 / 우육탕면 외
581825,,20050099461,가능,,한정식,02-534-5300,0,,11:30 ~ 21:30,가능(일부 메뉴),주차 가능,전화 예약 가능 (02-534-5300),명절 전날 및 당일,,,모두 금연석,
1998567,,19990043267,가능,,노천파전 / 참알탕,02-968-2494,0,,17:00 ~ 05:00,가능,,전화 예약 문의 (02-968-2494),일요일(전화문의),,,모두 금연석,노천파전 / 참알탕 / 석굴 / 한치회무침 외
134685,,19990107233,가능,,주꾸미숯불구이,02-514-9557,0,,11:00 ~ 06:00,가능(일부 메뉴),주차 가능,전화 예약 가능 (02-514-9557),연중무휴,,,모두 금연석,주꾸미숯불구이 / 주꾸미철판볶음 / 알밥 외
2642986,,20000029777,없음,,보쌈,02-2264-1669,0,,00:00-24:00,,,,연중무휴,,,금연,보쌈
2653189,,20080029077,없음,,부대찌개,02-3789-0110,0,,10:00-23:00(라스트오더 21:30),,,가능,,,,금연,부대찌개
403980,,20040100666,가능,,월남쌈 / 양지쌀국수,02-525-3885,0,,11:30 ~ 22:00,가능(일부 메뉴),,전화 예약 가능 (02-525-3885),명절당일,,,모두 금연석,월남쌈 / 양지쌀국수 / 커리라이스 / 나시고랭볶음밥 외
2539840,,20150098320,가능,,즉석떡볶이,070-4149-0077,0,,08:30 ~ 20:30,가능,,전화 예약 문의 (070-4149-0077),토요일,,,모두 금연석,즉석떡볶이 / 멸치국수 / 비빔국수 / 땡초김밥
