contentid,capacity,baby_carriage,credit_card,pet,discount_info,info_center,parking,parking_fee,rest_date,use_fee,use_time,scale,spend_time
130840,,없음,없음,불가,,갤러리나우 02-725-2930,없음,,,,"하절기 11:00~19:00<br />
동절기 11:00~18:00","실내면적35평, 높이 2m90cm",
130577,,없음,없음,불가,,갤러리 라메르 02-730-5454,인근 유료주차장 이용,,"1월 1일, 설, 추석",전시게시판 공지사항 참고,"10:30~18:00<br />
※ 매주 화요일은 전시 교체로 인하여 오전에만 관람 가능",,
130405,,없음,없음,불가,,갤러리 룩스 02-720-8488,주차공간이 협소하므로 가급적 대중교통 이용,,매주 월요일,무료,"월 : 사전예약<br />
화~일 11:00~18:00",전시장 면적 45여평,
130586,,없음,없음,없음,,갤러리 뤼미에르 02-517-2134,불가(인근 공영주차장 이용),,매주 월요일,전시에 따라 다름,10:00~18:00,,
130581,,없음,없음,불가,,갤러리 마노 02-741-6030~1,주차 가능,,"매주 일요일(상설전시 중 토,일요일 휴무), 신정, 구정, 추석연휴, 크리스마스",무료,10:30~18:00,,
130568,,없음,없음,불가,,02-722-8005,주차 가능,유료,공휴일,무료,10:30~18:30,32평,
130590,,불가,없음,불가,,갤러리 빔 02-723-8574,없음,,매주 월요일,무료,11:00~19:00,약 92㎡,
129927,,없음,없음,불가,,갤러리 서림 02-515-3377,주차 가능,,매주 일요일(전시기간중 일요일 개관),,09:30~18:30,,
130614,,없음,없음,불가,,갤러리 스케이프 02-747-4675,없음,,매주 월요일,,"화~금 10:00~19:00 <br />
토~일 10:00~18:00",약 33㎡ 내외,
130571,,없음,없음,불가,,갤러리 스클로 02-2236-1583,주차 가능,,"매주 월요일, 1월 1일, 설, 추석, 크리스마스",,"화요일~토요일 10:00~18:00<br />
일요일,공휴일 11:00~17:00",건평 100평,
130190,,없음,없음,불가,,갤러리 시몬 02-549-3031,주차 가능,,"매주 월요일, 일요일",무료,10:00~18:30,,
130616,,없음,없음,불가,,갤러리아트링크 02-738-0738,없음,,매주 월요일,무료,"화~토요일 10:00~18:00<br />
일요일 12:00~17:00",,
130617,,없음,없음,불가,,갤러리 아트사이드 02-725-1020,,,"매주 월요일, 공휴일 휴관",,10:00~18:00,"1층 전시장 : 약 241㎡ / 2,3층 전시장 : 각각 약 208㎡",
1252563,,없음,가능,불가,,갤러리 엠 02-544-8145,주차 가능,무료,매주 일요일,무료,"월~금 10:00~18:30<br />
토요일, 공휴일 10:00~18:00",,
129902,,없음,없음,불가,,갤러리 우림 02-733-3788~9,인근 유료주차장 이용,,"1월 1일, 명절 연휴(전시기간)<br>토.일요일 (전시 없는 경우)",무료,"평일 10:00~18:00<br />
주말 11:00~16:00","지하 1층~2층: 각각 약 125㎡, 3층: 99㎡",
130583,,없음,없음,불가,,갤러리 원 02-514-3439,주차 가능(약 6대),,"일요일 및 공휴일(단, 전시중이면 무휴)",,"월~금 10:00~18:00<br />
토요일 10:00~17:00",,약 1시간
129924,,없음,없음,불가,,갤러리인데코 02-511-0032,,,,,전시상황에 따라 다름,,
1005620,,없음,없음,불가,,02-547-9569,주차 가능(주차공간 협소),,"매주 일요일, 공휴일",,10:00~18:00,,
130621,,없음,없음,불가,,갤러리 한 02-737-6825,,,"매주 일요일, 1월 1일, 설날, 추석",무료,10:00~18:30,50평,
129917,,없음,가능,불가,,갤러리현대 02-2287-3500,주차 가능,관람시간 동안 무료,"매주 월요일, 신정, 구정, 추석 당일",무료 (일부 특별전시의 경우 유료),화~일 10:00~18:00,"지하１층, 지상４층, 연건평 300평",
745873,,없음,없음,불가,,갤러리 M 02-737-0073,없음 (인근 유료주차장 이용),,,,"평일 10:00~19:00<br />
주일 11:00~18:30","1층 40평, 높이 280cm",
130573,,없음,없음,불가,,갤러리 S.P 02-546-3560,주차 공간 협소,,"일요일,월요일,1월1일,설/추석",,월~금 10:00~18:00,,
2543000,,불가,가능,불가,,갤러리 문의안내 02-720-2722,있음(1대) 그 외 공영주차장 이용,,"매주 월요일, 추가 휴무일은 홈페이지 사전 공지",무료 관람,화수목금토일 10:30-19:00,,1시간 이내
2642151,,없음,없음,없음,,02-322-3979,,,"일요일, 월요일  휴관",,"화~토 : 11:00~19:00<br />
※ 월요일 예약방문 가능",,
130613,,없음,없음,불가,,갤러리도올 02-739-1405~6,,,연중무휴,,"평일 10:30~18:00, 토요일 11:00~18:00",전시실 약 83~109㎡,
129922,,없음,없음,불가,,갤러리미 02-542-3004,주차 가능,,일요일,,"월~금 10:00~19:00 <br />
토요일 10:00~17:00",,
130597,,없음,가능,불가,,갤러리에이엠 02-516-4488,없음,,추석/설날 당일,무료,11:00~20:00,15평,
2484861,층별 50명 내외,불가,가능,가능,,갤러리위 02-517-3266,주차 가능(공영주차장 이용),"2시간 이내 : 5분당 400원 <br />
2시간 이후 : 5분당 800원",주말 및 공휴일,무료,"월~금 : 10:00~18:00 <br />
주말 및 공휴일 : 예약","부지 - 169.5m2, 전시 - 지하1층, 지상2층, ROOFTOP",
745781,,없음,없음,불가,,갤러리정 02-733-1911,불가,,매주 일요일,,11:00~20:00,,
130587,,없음,없음,불가,,갤러리조선 02-723-7133~4,인근 유료주차장 이용,,매주 월요일,무료,10:30~18:30,총 전시 공간 50여 평,
2369638,50~60명,불가,가능,불가,,갤러리조은 02-790-5889,주차 가능,"갤러리 내 주차 무료, 발렛 이용시 유료","일요일, 공휴일 휴관",무료,월요일- 토요일 10:00~18:00,부지면적 261m²건물연면적 116.74m²(1층전체),약 30분 - 한시간
130232,,없음,없음,불가,,상허기념도서관 02-450-3363,주차 가능,,"매주 일요일, 공휴일<br />
개교기념일, 신정, 설날, 추석 등은 별도 공고, 도서관장이 필요하다고 인정할 때",무료,"[열람실] 05:00~23:00 (3층 제2열람실 : 24시간)<br />
[자료실/대출/반납]<br />
평일(학기중) 09:00~21:00 / (방학중) 09:00~17:30<br />
토(학기중) 09:00~15:00 / (방학중) 09:30~13:00",지하 1층 지상 6층 규모,
129818,,없음,없음,불가,,건국대학교박물관 02-450-3880~2,주차 가능,,"토요일, 일요일, 공휴일",무료,"월~금 09:30~17:00<br />
(방학기간 16:00까지)","총건평 약 290평(지하1층, 지상2층)<br />
전시실 150평, 유물보관실 50평, 사무실 40평, 기타 50평",약 30분
774675,,없음,가능,불가,,겸재정선미술관 02-2659-2206,주차 가능,무료,"매주 월요일, 1월 1일, 설/추석 당일","[통합관람권 : 겸재정선미술관+허준박물관]<br />
개인 - 어른 1,300원 / 초ㆍ중ㆍ고 및 군경 700원<br />
단체 - 어른 1,000원 / 초ㆍ중ㆍ고 및 군경 500원<br />
[일반관람]<br />
개인 - 어른 1,000원 / 초ㆍ중ㆍ고 및 군경 500원<br />
단체 - 어른 700원 / 초ㆍ중ㆍ고 및 군경 300원<br />
※ 단체 20인 이상","하절기(3~10월) 평일 10:00~18:00<br />
동절기(11~2월) 평일 10:00~17:00<br />
토/일요일 10:00~17:00<br />
(입장마감 1시간 전)","대지면적 3,561.00㎡ / 연면적 3,305.29㎡",
2552251,,불가,불가,불가,,경운박물관 02-3463-1336,주차가능(소형 약 100대),"2,000원","매주 일요일,공휴일",무료,10:00~16:00,"부지면적 482㎡, 건축연면적 990㎡<br />
전시면적 339㎡(상설전시실 147㎡, 기획전시실 192㎡)",약 30분
130278,,없음,없음,불가,,경인미술관 02-733-4448,인근 유료주차장 이용,,"1월 1일, 설, 추석",무료,"* 미술관 : 10:00~18:00<br />
* 전통 다원 : 10:00~22:50<br />
* 어검당 : 10:00~18:00(예약제)",총면적 약 1650㎡,
130920,1000여명,,없음,,,"자연사박물관 02-961-0142,3",주차 가능,"[승용차] 최초 30분 2,000원 / 이후 10분당 500원 <br />
[대형차] 최초 30분 4,000원 / 이후 10분당 1,000원","토,일요일, 공휴일, 개교기념일(5.18), 소독기간 등",무료,월~금 10:00~17:00,"연건축면적 2,290㎡",2시간
129833,,없음,없음,없음,,경희대학교 중앙박물관 02-961-0141,주차 가능,,"토요일, 공휴일, 특별한 사정이 있을 때",무료,"월~금요일 10:00~17:00<br />
※ 단체관람 및 연구자를 위해 공휴일 이외에는 항시 개관(사전예약)","연건평 2,036㎡<br> 
전시실 1,197㎡",약 1시간
129831,,없음,없음,불가,,고려대학교박물관 02-3290-1514,,,"매주 일요일, 박물관 규정에 정한 휴관일 및 국경일","상설전시 - 무료<br />
기획전시 및 특별전(대관전시 포함) - 전시에 따라 별도로 책정","10:00~17:00<br />
※ 입장은 관람종료 1시간 전까지 가능",,2시간
2591873,"관람석 : 16,784석",없음,없음,없음,,고척 스카이돔 02-2128-2300,"[지상1층] 35면(VIP27, 장애인2, 응급차2, 선수단 버스4)<br />
[지하1층] 282면(일반138, 경차27, 장애17, 여성100)<br />
[지하 2층] 175면(일반175)<br />
총계 492면<br />
운영시간 : 08:00~22:00","* 주차요금 적용 급지 : 3급지(평시), 2급지(행사시)<br />
* 1회 주차시 5분당 : 150(평시), 250(행사시)<br />
* 1회 주차시 30분 기준 : 900(평시), 1500(행사시)<br />
* 1회 주차시 1시간 기준 : 1,800(평시), 3,000(행사시)<br />
* 1회 주차시 6시간 기준 : 10,800(평시), 18,000(행사시)<br />
* 감면대상<br />
- 국가유공상이자/고엽제 휴유증의 환자/장애우 : 80% 감면<br />
- 경차/저공해차량/5.18 민주 유공자 차량 : 50% 감면<br />
- 다둥이 행복카드 소지자 : 2자녀인 경우 30%, 3자녀이상은 50% 감면",,,,"* 연면적 83,476㎡(지하 2층, 지상 4층)<br />
* 대지면적 58,992㎡<br />
* 건축면적 29,120㎡""",
2606224,,불가,없음,불가,,공평도시유적전시관 02-724-0135,,"2019년: 최초 20분 무료/15분마다 1,000원<br />
2020년: 최초 20분 무료/15분마다 2,000원<br />
※ 일 주차 평일 30,000원 주말,공휴일 10,000원","1월 1일, 매주 월요일(공휴일 제외)",무료,"09:00~18:00<br />
※ 30분 전까지 입장",,약 1시간
130924,약 130명,없음,없음,불가,,서울세관 홍보담당실 02-510-1082,주차 가능,,주말 및 공휴일,무료,월~금 09:30~18:00,,약 25분
130212,,없음,없음,불가,,"관악문화원 02-885-5975, 878-1931",주차 가능,,"매주 토요일, 일요일, 공휴일",,09:00~18:00,,
130938,"평일 : 1회당 200명까지 가능  <br />
주말 : 1회당 150명까지 가능",없음,없음,불가,,광나루안전체험관 02-2049-4061,"체험관내에는 별도의 주차장이 없으므로, 대중교통을 이용하거나, 바로 옆의 어린이대공원 주차장(유료)을 이용",,"매주 월요일, 1월1일, 설/추석 당일",무료,09:00~17:00,"연면적 6,142㎡ (지하1층, 지상3층)",체험 1회당 약 1시간 40분 소요
130223,,없음,없음,불가,,광진문화원 02-447-0244,"* 09:00~18:00 운영(토요일 주차불가)<br />
※ 2000cc 미만 자동차만 주차가능 (주차공간이 협소함)",무료,"일요일, 공휴일",,"평일 09:00~22:00 / 토요일 09:00~18:00<br />
(강좌시간에 따라 변동가능)",,
561610,1층 318석,불가,없음,불가,,종로문화체육센터 02-732-9392,주차 가능(주차장이 협소하므로 대중교통 이용 바람),,매주 월요일,공연에 따라 다름,공연에 따라 다름,"객석 288석, 무대 14m*8m",공연에 따라 다름
130893,,없음,없음,불가,,02-851-0837,주차 가능,무료,"매주 토요일, 일요일, 공휴일",강좌마다 다름,10:00~18:00,,
968389,"예술극장 579석 (1층 380석, 2층 199석)<br />
소강당 60석<br />
교육실 30석",없음,가능,불가,,공연문의 02-2029-1700,주차 가능(구로근린공원 공영주차장 이용),"기본 - 1시간 1,800원 (10분당 300원) <br />
공연관람객 - 1시간 1,200원 (10분당 200원)<br />
감면차량 - 장애인, 국가유공자 차량 80% / 경차, 저공해 인증차량 50%",,공연에 따라 다름,공연에 따라 다름,"공연장(1, 2층), 지하 1층 소강당(43평), 갤러리(64평)",공연에 따라 다름
130479,,없음,없음,없음,,안보전시관 02-3461-6613,주차 가능,,"매주 토, 일요일 및 국경일 등 공휴일",무료,평일 10:00~17:00,총면적 250평,1시간 정도 소요
596511,,없음,없음,불가,,국기원 02-567-1058,주차 가능,무료,"[기념관] 공휴일 및 국경일, 국기원 휴원일",[기념관] 무료,[기념관] 09:00~17:30 (점심시간 11:30~13:00),,
129811,,없음,없음,불가,,국립고궁박물관 02-3701-7500,경복궁주차장 이용 (주차문의 02-738-7474),"소형차(16인승 이하) : 기본 2시간 2,000원<br />
중/대형차(16인승 이상) : 기본 2시간 4,000원<br />
기본시간 이후 15분 초과시 500원","1월1일, 설,추석 당일",무료,"10:00~18:00 (수, 토 : 10:00~21:00)<br />
※ 관람 종료 1시간 전까지 입장가능","연면적 18,284㎡ (지상 2층, 지하 1층)",
130182,,없음,없음,불가,,북한산생태탐방연수원 02-901-0700,주차 가능,,"매주 월·화요일, 1월 1일, 설·추석 연휴",무료,10:00~17:00,,
130125,,없음,없음,불가,,국악박물관 02-580-3130,주차 가능,무료,"매주 월요일, 1월 1일",무료,09:00~18:00,,
130124,"예약당 706석, 우면당 231석, 풍류사랑방 130석",없음,없음,불가,,국립국악원 02-580-3300,주차 가능,"무료<br />
※ 월요일~금요일 09:00~18:00 차량 5부제 적용(18:00이후 및 토요일, 일요일, 공휴일은 부제 적용 해제)",공연에 따라 다름,공연에 따라 다름,공연에 따라 다름,,공연에 따라 다름
130231,,없음,가능,불가,,고객지원실 02-2280-4114,"주차 가능(※ 단, 주차장이 협소하므로 가급적 대중교통 이용바람)",유료,공연에 따라 다름,공연에 따라 다름,공연에 따라 다름,"대지면적 57,041㎡ / 연면적 33,416㎡ / 건축면적 11,829㎡",
2545920,,가능,없음,불가,,국립어린이과학관 02-3668-3350,없음,,"매주 월요일, 1월1일, 설추석<br />
(월요일이 공휴일인 경우 개관하며, 화요일에 대체 휴관)","[상설전시관] <br>
개인 :&nbsp;유아 무료 / 소인 1,000원 / 대인 2,000원 / 경로우대 무료<br>
단체 : 유아 무료&nbsp;/ 소인 500원 / 대인 1,000원 /&nbsp; 경로우대 무료<br>
<br>
[천체투영관]<br>
개인 :&nbsp;유아 1,000원 / 소인 1,000원 / 대인 1,500원 / 경로우대 1,000원<br>
단체 : 유아 1,000원 / 소인 1,000원 / 대인 1,500원 / 경로우대 1,000원<br>
<br>
[4D영상관]<br>
개인 :&nbsp;소인 1,000원 / 대인 1,500원 / 경로우대 1,000원<br>
단체 : 소인 1,000원 / 대인 1,500원 / 경로우대 1,000원<br>
<br>
※ 유아(만7세미만), 소인(만7세~18세), 대인(만19세이상), 경로우대(만65세이상)<br>
※ 할인대상자 증빙서 필히 지참","09:30~17:30 (입장마감 16:30)<br />
(입장시간이 별도로 정해져 있음)",,
130303,,없음,없음,없음,,국립중앙도서관 02-535-4142,"주차 가능 (운영시간: 09:00~22:00) <br />
주차대수: 314대 (지하 217대, 지상 97대)","일반이용자 1일 1회에 한하여 1시간 무료, 1시간 초과 시 매 15분마다 500원 과금","매주 월요일, 일요일을 제외한 관공서의 공휴일 (다만, 설 연휴와 추석 연휴 기간 중의 일요일은 휴관), 기타 관장이 필요하다고 인정하는 날",무료,09:00~18:00,"본관 - 지상 7층, 지하 1층  <br /> 
사서연수관 - 지상 2층, 지하 1층  <br /> 
자료보존관 - 지상2층, 지하 4층 <br />
디지털도서관 - 지상 3층, 지하 5층",
129703,,없음,가능,불가,,국립중앙박물관 02-2077-9000,"* 옥내주차장 : 754대<br />
지하1층 : 관람객용 522대(장애인용 31대, 경차용 26대 포함)<br />
지상1층 : 업무용 132대(장애인용 10대, 경차용 7대 포함)<br />
지상2층 : 업무용 100대(장애인용 2대, 경차용 5대 포함)<br />
* 옥외주차장 : 99대(대형 78대포함)<br />
※ 주차공간 부족하니 가능한 대중교통 이용바람","승용차(15인승 이하) - 기본 2시간 2,000원 / 초과요금 매 30분당 500원 / 1일 최대(06:00~23:00) 10,000원<br />
중/대형차(16인승 이상) - 기본 2시간 4,000원 / 초과요금 매 30분당 1,000원 / 1일 최대(06:00~23:00) 20,000원<br />
※ 입차 후 20분 이내 출차 시 요금면제<br />
※ 요금정산 후 20분 이내 미출차 시 요금부과<br /><br />
※ 주차요금 면제 - 공무내방자, 유물기증자, 박물관회 기부회원, 박물관 자원봉사자, 장애인, 국가유공자, 박물관 직원 및 상주기관 임직원<br />
※ 요금 50% 할인 - 국가유공자의 가족, 1,000cc 이하차량, 환경친화적 자동차, 세미나, 교육생, 박물관시설 대관단체(주최측 차량에 한함)<br />
※ 기본요금 - 박물관회 특별․일반․후원 회원, 극장 ""용"" 공연관람 시","1월1일, 설, 추석","무료 : 상설전시관, 어린이박물관, 무료기획전시<br />
상설전시관 : 관람권 없이 바로 입장<br />
어린이박물관 : 어린이박물관 앞 안내데스크 <br />
※ 관람권 발급 시간 : 관람 종료 1시간 전까지<br />
<br />
유료 : 유료특별전시<br /> 
※ 관람권 구입 :  기획전시실 앞 매표소(유료 진행 특별전시의 경우는 입장권을 받아 입장)<br />
※ 관람권 발급 시간 : 관람 종료 1시간 전까지","월,화,목,금 10:00~18:00<br />
수,토(야간개장) 10:00~21:00<br />
일,공휴일 10:00~18:00<br />
※ 어린이박물관 - 매월 마지막 주 수요일만 야간개장(18:00 이후는 당일 선착순 입장, 18:00/19:30 300명씩 2회차)","부지면적 307,227㎡ / 건축면적 49,117㎡ / 연건평 134,270㎡(지하1층, 지상6층)",
1177980,,가능,가능,불가,,국립중앙박물관 02-2077-9000,주차 가능,"승용차(15인승 이하) - 기본2시간 2,000원 / 초과요금 매 30분당 500원<br />
중/대형차(16인승 이상) - 기본2시간 4,000원 / 초과요금 매 30분당 1,000원","1월1일, 설, 추석","무료(단, 무료 관람이라도 만 3세 이상의 관람객은 어린이박물관 관람권을 받아야 함)","10:00~18:00<br>
[야간개장] 매월 마지막 주 수요일(18:00~19:30 300명, 19:30~21:00 300명)",,
1954333,"시간당 최소 300명, 최대 700명 수용 가능",가능,가능,불가,,국립한글박물관 02-2124-6200,주차 가능(국립한글박물관 건물 지하 1층/70여 대),"기본 2시간 2,000원 / 초과시 매 30분 당 500원 추가요금<br />
* 장애인, 국가유공자 등 주차요금 면제<br />
* 자세한 사항은 홈페이지 참고","새해 첫날(1.1), 설날 당일, 추석 당일",무료,"평일(월~금, 일요일), 공휴일: 10:00~18:00<br />
토요일, 문화가 있는 날: 10:00~21:00<br /> 
* 한글도서관(1층): 월~일 10:00~18:00(단, 한글날을 제외한 법정 공휴일은 휴관)","부지면적: 15,700㎡<br />
건축연면적: 11,767㎡(지하1층, 지상4층)<br />
전시면적: 2,321㎡ (2층 1,310㎡, 3층 1,011㎡)",약 1시간~1시간30분
130173,,없음,없음,불가,,덕수궁관 02-2022-0600,불가(인근 유료주차장 이용),,"매주 월요일, 1월 1일","관람료의 경우 해당 전시에 따라서 달라질 수 있음<br />
※ 자세한 안내는 전시 소개페이지 참고","화,목,금,일 10:00~19:00 <br />
수,토 10:00~21:00 (야간개장) <br />
※ 입장시간 : 관람종료 1시간 전까지 가능<br />
※ 전시에 따라 변동 가능",,
1934593,,없음,가능,불가,,02-3701-9500,주차 가능 (161대),"기본 2시간 : 2,000원 (초과요금 30분당 1,000원)",,"4,000원<br />
※ 무료관람일은 매월 마지막 수요일 문화가 있는 날","- 월,화,수,목,일 10:00~18:00<br />
- 금,토 10:00~21:00(18:00~21:00)<br />
※ 발권시간 : 관람종료 1시간 전까지 가능","전시공간 8,789㎡",2시간
129918,,없음,없음,불가,,국제갤러리 02-735-8449,주차 가능(주차 공간 협소),,,전시에 따라 다름,"월요일~토요일 10:00~18:00<br />
일요일,공휴일 10:00~17:00",,
130189,,없음,가능,불가,,국회방문자센터 02-788-3664,둔치주차장 주차,,"(법정)공휴일, 일요일, 국회개원기념일(5.31)",무료,"평일 09:00~18:00 (17:00까지 입장)<br />
토요일 12:00 참관에 한해 가능","연면적 8,160㎡ (지하1층, 지상3층)",
129724,약 150명,없음,없음,불가,,극단 대학로극장 02-766-0773,없음,,,공연에 따라 다름,공연에 따라 다름,총면적 약 205㎡,공연에 따라 다름
2535347,100명 수용 가능,없음,없음,불가,,근현대사기념관 02-903-7580,"주차 가능(소형 2대, 장애인 차량 1대)",무료,"* 매주 월요일(단, 월요일이 공휴일인 경우 개관하고 다음 평일에 휴관)<br />
* 1월 1일, 설·추석 연휴",무료,"화~일요일 09:00~18:00 <br />
※ 관람 종료 30분전까지 입장","부지 면적 : 2,049.00㎡ 건축 연면적 : 951.33㎡ (지상 2층) <br />
전시 면적 : 371.81㎡ (1층 299.76㎡, 2층 72.05㎡)",약 1시간
1105871,총 좌석수 566석(장애인석 8석 포함),없음,가능,불가,,"금나래아트홀 02-2627-2981,5","주차 가능<br />
※ 공연이 있는 당일에만 22시까지 주차장 이용이 가능(가급적 대중교통 이용)","일반주차 1시간 무료, 1시간 이후 10분당 500원",,공연에 따라 다름,공연에 따라 다름,"지상 2층, 지하 2층",
1105923,열람 360석,없음,없음,없음,,"금천구립가산정보도서관 02-865-6817,6819","주차 10대 가능(장애인1대 포함)<br>
※ 주차장 협소, 가급적 대중교통 이용<br>
이용시간 : 07:00~22:00",무료,"[정기휴관일] 매월 두번째, 네번째 월요일<br>
[임시휴관일] 도서관 사정으로 임시로 정하는 휴일<br>
일요일을 제외한 법정 공휴일(공휴일과 겹친 일요일 휴관)",,"[자유열람실Ⅰ,Ⅱ] 07:00~22:00<br />
[종합자료실] 평일 09:00~22:00 / 09:00~17:00<br />
[어린이실/장애인실/디지털자료실] 평일 09:00~18:00 / 주말 09:00~17:00","지상6층, 옥상",
1116132,종합자료실 174석 / 인터넷카페 20석 / 어린이자료실 90석 / 아가랑엄마랑 37석,없음,없음,불가,,"금천구립금나래도서관 02-2627-2991,2994",주차 가능(공간이 협소하니 가능한 대중교통 이용),"일반주차 : 1시간 무료, 1시간 이후 10분당 500원","[정기휴관일] 매월 마지막주 일요일, 신정, 설/추석 연휴, 석가탄신일, 성탄절, 선거일<br />
[임시휴관일] 도서관의 장서점검, 시설의 수리, 기타 관장이 필요하다고 인정할 때",,"[종합자료실] 평일/주말 09:00~22:00<br />
[전자정보실] 평일/주말 09:00~20:00<br />
[어린이자료실] 평일 09:00~18:00 / 주말 09:00~17:00<br />
3.1절, 어린이날, 현충일, 광복절, 개천절 09:00~17:00",연면적 918.19㎡(1층 427.5㎡ / 2층 490.69㎡),
1105911,열람실 198석,없음,없음,불가,,금천구립독산도서관 02-863-9544,"주차 가능 <br />
※ 주차장 협소, 가급적 대중교통 이용",무료,"매월 첫번째, 세번째 월요일, 일요일을 제외한 법정 공휴일(공휴일과 겹친 일요일 휴관), 도서관 사정으로 임시로 정하는 휴일",,"[자유열람실] <br />
평일07:00~22:00 / 주말07:00~22:00<br />
[종합자료실/참고자료실/정기간행물실/장애인열람실] <br />
평일09:00~22:00 / 주말09:00~17:00<br />
[전자정보실/어린이자료실(아가방,책다방)]<br />
평일09:00~18:00 / 주말09:00~17:00",지상 3층,
130377,,없음,없음,불가,,금천문화원 02-896-8552,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,,
130302,"120명 (전시장 내 관람객이 120명이 초과될 경우, 입장 제한이 될 수 있음)",없음,가능,불가,,금호미술관 02-720-5114,"미술관 건물 앞 정면주차 최대 10대 가능(만차시, 미술관 건너편 경복궁 주차장 이용- 유료)",,"매주 월요일, 12월 25일, 1월 1일, 설/추석 연휴",전시에 따라 다름,10:00~18:00 (입장은 17:30분까지),,
