contentid,distance,info_center,schedule,spend_time,theme
1873302,50km,,,7시간,
1978180,41.90km,,,6시간,
2037572,20.95km,,,1일,
1921843,18.43km,,,5시간,
2390799,9.16km,,,1일,
1978191,19.11km,,,6시간,
1873337,25km,,,8시간,
2360858,49.60km,,,1일,
1873292,10km,,,9시간,
2050398,23.77km,,,1일,
2360866,66.39km,,,1일,
2390797,3.97km,,,1일,
2044530,35.66km,,,1박 2일,
1873313,50km,,,9시간,
2011494,14.14km,,,1일,
1978365,9.07km,,,6시간,
1978822,15.97km,,,8시간,
1978372,22.65km,,,6시간,
2011491,13.07km,,,1일,
1888896,6.8km,,,7시간,
2361008,56.31km,,,6시간,
2358008,3.10km,,,6시간,
1978379,30.71km,,,6시간,
2605931,27.6km,,,1시간,
1978816,19.26km,,,1일,
1978824,10.05km,,,5시간,
2666784,17.1km,,,1박 2일,
1888936,39.3km,,,6.5시간,
1942576,2.38km,,,5시간,
1922520,13.49km,,,5시간,
1889060,5km,,,5.5시간,
2385685,19.80km,,,1일,
2393457,5.91km,,,6시간,
1922538,10.29km,,,5시간,
1922568,1.02km,,,3시간,
2610457,28km,,,1시간 15분,
2022923,24.68km,,,1일,
2360805,28.68km,,,1일,
2605959,9.3km,,,35분,
1942553,2.30km,,,5시간,
1889025,17.4km,,,6.5시간,
2381544,10.3km,,,5시간,
2036051,18.69km,,,5시간,
2037446,8km,,,1일,
1942557,210.51km,,,8시간,
1889309,15.8km(금정산성 걷기 5.3km 포함),,,6시간,
1942566,2.37km,,,5시간,
2037531,39.39km,,,1일,
1889286,11.5km,,,6시간,
1889372,40.1KM,,,5.5시간,
2037282,66.89km,,,1박 2일,
2660706,25.5km,,,1박2일,
1889340,14.2KM,,,6시간,
2394381,15.86km,,,7시간,
2394354,17.92km,,,1일,
1966894,36.21km,,,5시간,
1966898,120.43km,,,1일,
2390817,2.08km,,,7시간,
2360875,83.21km,,,1일,
2628044,약 40km,,,1박 2일,
2402720,약 58km,,,약 6시간 코스,
1928035,48.67km,,,1일,
1889333,22.4KM,,,5시간,
1978844,8.48km,,,1박 2일,
2514028,44.92km,,,,
1942787,14.13km,,,6시간,
2012017,53.74km,,,1박 2일,
2568556,10km,,,약 20분,
1960918,66.11km,,,1박 2일,
2514030,36.9km,,,,
2515446,11.31km,,,,
1966519,9.44km,,,1일,
1960314,82.40km,,,1일,
1967350,83.37km,,,1일,
1960916,76.33km,,,1일,
2568652,24.4㎞,,,약 1시간,
2568627,31.3㎞,,,약 1시간,
2037277,47.12km,,,1일,
1887690,46.3km,,,6시간,
1874868,17㎞,,,7시간,
1869407,52.3KM,,,7시간,
1960698,22.48km,,,5시간,
1967840,25.03km,,,5시간,
1997061,50.26km,,,1박 2일,
2514016,9.82km,,,,
2515714,26.56km,,,,
2530535,88.35km,,,약 2시간,
1917213,6.36km,,,1일,
2569546,21.6㎞,,,약 1시간,
1874880,44㎞,,,9시간,
2363035,41.44km,,,1일,
2363032,63.48km,,,1일,
1887698,39.2km,,,6.5시간,
1921492,11.46km,,,1박 2일,
1873261,약 85㎞,,,"1박2일(첫째 날 8시간, 둘째 날 3시간)",
2018433,49.31km,,,1박 2일,
1887440,27.9km,,,5.5시간,
1887396,13.2KM,,,6시간,
2515531,11.32km,,,,
1869579,14.1km,,,7시간,
2514026,44.4km,,,,
1887633,53km,,,6시간,
2515665,57.04km,,,,
2012010,21.06km,,,1박 2일,
1920535,37.12km,,,7시간,
2514055,12.93km,,,,
2514017,21.4km,,,,
2029079,30.88km,,,1박 2일,
1874922,9㎞(등산코스 6.5㎞ 포함),,,4시간(등산코스 3시간 포함),
1887610,33.6km,,,6시간,
2020930,16.60km,,,1일,
2515445,13.79km,,,,
1921503,3.32km,,,5시간,
2029069,5.01km,,,1일,
2569536,27㎞,,,약 1시간,
2363217,19.79km,,,1일,
1869491,21.6KM,,,7시간,
2363014,34.31km,,,1일,
1870085,20.6km,,,5.5시간,
1997025,28.07km,,,1일,
2363261,36.78km,,,6시간,
2605930,41km,,,1시간,
1869512,20.5km(망월사 왕복 4.2km 걷기 포함),,,6시간,
1874941,14㎞,,,9시간,
1960294,92.26km,,,1일,
1870201,11.4km,,,6.5시간,
2363051,11.69km,,,7시간,
2514033,57.47km,,,,
1942793,76.55km,,,8시간,
2514051,15.87km,,,,
2364049,65.93km,,,1일,
1921529,1.18km,,,4시간,
1873245,약 10㎞,,,7시간,
2049451,6.78km,,,5시간,
1870100,13.6km,,,6시간,
2363029,35.48km,,,1일,
1874872,9㎞(걷기길 3㎞ 포함),,,4시간(걷기길 2시간 포함),
1887407,10.2KM,,,5시간,
2569754,22.42km,,,2일,
2363034,49.03km,,,1일,
2514018,57.45km,,,,
2351101,64.01km,,,1일,
2568567,21.2㎞,,,약 1시간,
1869478,6KM,,,6시간,
1887672,13.2km,,,6시간,
1887682,24.2km,,,5.5시간,
2515530,74.46km,,,,
1967424,67.87km,,,1일,
2383728,60.03km,,,8시간,
1960309,55.67km,,,1일,
2363227,74.83km,,,1일,
1942792,19.01km,,,6시간,
2012403,49.46km,,,1박 2일,
2371986,2.53km,,,1일,
2048808,17.87km,,,1박 2일,
1965837,46.46km,,,5시간 30분,
2020956,13.81km,,,1일,
1997043,31.42km,,,1박 2일,
1887439,16.9km,,,6시간,
2569700,45.84km,,,약 1시간,
2569644,35.21km,,,약 1시간,
2568694,51.9㎞,,,약 1시간,
2514054,50.2,,,,
2514060,16.21km,,,,
1917267,10.58km,,,1일,
2363013,34.08km,,,1일,
1920521,21.46km,,,5시간,
1968939,93.22km,,,1박 2일,
2499864,16.3km,,,약 1시간,
2364055,39.99km,,,6시간,
1917044,"14,50km",,,1일,
1874826,32㎞,,,7시간,
1976475,20.99km,,,8시간,
1914511,25.75km,,,1박 2일,
1874904,56㎞,,,8시간,
2037269,125.67km,,,1박 2일,
2433924,약 52km,,,약 10시간,
1921208,"14.36km,",,,5시간,
1997055,43.87km,,,1박 2일,
2390050,5.29km,,,1일,
2037367,62.02km,,,1일,
1887437,7km,,,7시간,
1942795,9.57km,,,5시간,
1874800,60㎞,,,8시간,
1942789,24.35km,,,6시간,
1873254,약 28㎞,,,8시간,
2515733,49.32km,,,,
2357718,62.40km,,,1박 2일,
1873269,약 50㎞,,,"1박2일(첫째 날 4~5시간, 둘째 날 3~4시간)",
1980973,19.85km,,,1박 2일,
1917178,8.56km,,,1일,
1874877,40㎞,,,8시간,
2569826,43.25km,,,1일,
2569651,33.06km,,,약 1시간,
1917198,63.67km,,,1일,
2391083,1.34km,,,1일,
2500002,12.622km,,,약 2시간,
2569836,33.44km,,,1일,
2568560,42㎞,,,약 1시간,
2511701,26.58km,,,약 1시간,
2665995,116.5km,,,1박2일,
1917272,10.58km,,,1일,
2363252,33.43km,,,1일,
2037232,15.51km,,,5시간,
2012402,51.52km,,,1박 2일,
2515724,35.57km,,,,
1887641,13.2km,,,5시간,
2514050,33.26km,,,,
2384830,8.95km,,,1일,
2048382,75.08km,,,1일,
1928063,26.47km,,,1일,
1928391,1.64km,,,1일,
2401954,약 63.03km,,,1일 코스,
2361026,17.58km,,,1일,
1871375,32km,,,6시간,
1904557,16Km,,,5시간 30분,
1852909,44km(걷기길 10km 포함),,,9시간(걷기길 4시간 포함),
2390089,10.59km,,,1일,
1960290,23.48km,,,5시간,
1979622,13.86km,,,1박 2일,
1967383,122.49km,,,1일,
1917281,14.77km,,,1일,
1968948,41.53km,,,7시간,
1960567,70.61km,,,1일,
2514013,82.33km,,,,
1960926,27.96km,,,1박 2일,
2569813,10.85km,,,1일,
1852913,9km,,,6시간,
2569553,24.26km,,,약 1시간,
2569693,79.49km,,,약 2시간,
2569741,12.04km,,,약 20분,
1968096,63.68km,,,1일,
1853384,30km,,,6시간 30분,
2361072,64.84km,,,1일,
1853824,62km,,,8시간,
2361032,40.91km,,,1일,
1855153,16km,,,8시간,
1871398,"39km(전나무숲길, 선재길 등 걷기 코스 편도 10km 포함)",,,6시간,
2351094,70.33km,,,1일,
1853412,29km,,,7시간,
2628999,약 50km,,,1박 2일,
1854625,8.5km,,,5시간,
1920420,7.03km,,,7시간,
1871368,31km,,,6시간,
1855086,33km(래프팅 10km),,,6시간,
2361009,54.73km,,,1일,
1852918,16km,,,7시간,
2513999,10.4km,,,,
1853434,15km,,,7시간,
2663636,42.3km,,,1박2일,
1853396,3km,,,7시간,
1853399,25km,,,6시간,
1853416,18km,,,3~4시간,
1853825,30km,,,7시간,
1846297,25km,,,7시간,
2569759,9.32km,,,2일,
2381551,53.24km,,,6시간,
2037368,58.38km,,,1박 2일,
1871414,17km,,,4시간,
1871370,16km,,,7시간,
2568614,125㎞,,,약 3시간,
1846248,28km(소금강 왕복 5km 포함),,,7시간,
2569829,31.58km,,,2일,
1853403,35km,,,7시간,
2537160,149.79km,,,약 3시간,
1855123,11.3km,,,8시간,
1853446,15km(울산바위 트레킹 약 4km 포함),,,8시간,
2383741,21.66km,,,7시간,
2569573,89.65km,,,약 1시간 40분,
1853441,15km,,,7시간,
2357725,83.31km,,,1박 2일,
1855087,30.1km,,,4.5시간,
2511700,33.19km,,,약 1시간,
2022049,15.08km,,,6시간,
2385664,13.26km,,,1일,
1853385,13km,,,6시간,
1871355,47km,,,7시간,
1871431,41.9km,,,1박 2일,
2357566,38.18km,,,1일,
2668417,37.9km,,,1박 2일,
2568539,29km,,,약 1시간,
2569657,49.55km,,,약 1시간,
2569566,59.73km,,,약 1시간,
1853958,16km,,,6시간,
1853829,18km,,,7시간,
2384396,27.25km,,,1박 2일,
2569802,41.28km,,,2일,
2022060,31.98km,,,1일,
1855145,49km,,,8시간,
1871380,56km,,,1박 2일,
2605393,70km,,,2시간 15분,
2390099,20.74km,,,1일,
2514011,24.72km,,,,
2037697,30.9km,,,1박 2일,
1871402,80km,,,7시간,
1967843,12.08km,,,5시간,
1967853,17.37km,,,5시간,
2034853,7.66km,,,4시간,
1855111,8.8km,,,5시간,
2351160,,,,,
2036038,18.16km,,,6시간,
2390803,21.24km,,,1박 2일,
2569833,37.16km,,,2일,
1871361,46km,,,8시간,
2569786,26.69km,,,2일,
2361048,46.40km,,,1일,
2513872,216.29km,,,약 3시간,
1855143,6.2km,,,6시간,
2037447,25.65km,,,1박 2일,
1855077,15.2km,,,6시간,
1854623,38.4km,,,6시간,
2569820,4.7km,,,1일,
1853803,9km,,,8시간,
2357712,32.43km,,,1일,
1871407,9km,,,6시간,
2568710,39.32km,,,투어버스 이용시 약 3시간,
2569747,17.39km,,,약 30분,
2569645,56.91km,,,약 1시간 30분,
2037655,145.57km,,,1박 2일,
2500325,261.16km,,,약 4시간,
1968945,15.73km,,,5시간,
2390809,89.97km,,,1박 2일,
2037407,91.43km,,,1박 2일,
2384908,40.96km,,,1일,
1853853,11.5km(주전골 트레킹 2.2km 포함),,,6시간,
1855157,44km,,,6시간,
2047668,,,,,
2044505,13.38km,,,1박 2일,
2569540,40㎞,,,약 1시간,
2569730,66.98km,,,약 1시간 30분,
2569716,30.25km,,,약 1시간,
1871422,500m,,,5시간,
2499865,10.16km,,,약 1시간,
2519163,109.88km,,,약 2시간,
2514873,99.85km,,,,
2514958,34.92km,,,,
2514924,27.63km,,,,
2514959,26km,,,,
2514914,25km,,,,
2515239,13km,,,,
2514964,18.1km,,,,
2514956,,,,,
2514954,30km,,,,
2514879,124km,,,,
1871389,11km,,,6시간,
2372021,42.50k,,,1일,
1886535,20.5km,,,6시간,
1854557,25km,,,6시간,
2011639,12.40km,,,1일,
1938440,35.04km,,,6시간,
1854604,28km,,,7시간,
1941551,26.30km,,,7시간,
2047558,29.89km,,,1일 코스,
1887382,32.1km,,,6.5시간,
1957825,27.69km,,,5시간,
2519149,16.42km,,,,
1968519,18.18km,,,7시간,
1887361,20.7km,,,6.5시간,
2514461,48.92km,,,,
1854606,33km,,,6시간 30분,
2392993,63.18km,,,1박 2일,
1959200,53.66km,,,6시간,
1939807,20.11km,,,5시간,
1938454,51.74km,,,7시간,
2049113,39.04km,,,1일,
1854583,35km,,,6시간,
1959194,36.71km,,,5시간,
1887365,12.5km,,,6시간,
1936022,4.751km,,,4시간,
1854601,약 13.km (법주사-문장대 왕복 10.6km 포함),,,7시간,
1854522,20km,,,7시간,
1959177,51.14km,,,6시간,
1957867,125.19km,,,5시간,
1959188,40.84km,,,6시간,
1854609,42km,,,6시간,
2381374,16.7km,,,5시간,
1886485,12km,,,5시간,
1939799,32.58km,,,6시간,
1886526,7km(덕주골-영봉 6km 포함),,,7시간,
1886524,15km,,,6시간,
1854597,13km,,,6시간,
2037263,62.82km,,,1박 2일,
1945199,22.87km,,,5시간,
2029168,609m,,,1일,
1938449,14.92km,,,5시간,
1854599,22km,,,6시간 30분,
2389092,33.62km,,,1일,
2530537,159.96km,,,약 2시간 30분,
2350179,24.71km,,,1박 2일,
2011616,21.61km,,,1박 2일,
1958241,8.31km,,,4시간,
2530555,191.55km,,,약 3시간,
1938460,6.49km,,,4시간,
1959213,67km,,,1일,
1958244,24.31km,,,6시간,
1854496,9km,,,6시간,
1938456,45.32km,,,7시간,
1887343,19.4km,,,5.5시간,
2381377,19.33km,,,5시간,
1939810,41.66km,,,1박 2일,
2514445,22.7km,,,,
2372006,33.45km,,,1일,
1960416,114.85km,,,1박 2일,
1959206,67km,,,1일,
2372035,32.06km,,,7시간,
2372022,25.22km,,,6시간,
2046301,110.26km,,,1박 2일,
1941547,135.55km,,,1박 2일,
1938434,55.80km,,,8시간,
2037519,73.03km,,,1박 2일,
1887373,15.4km(하늘재 왕복 5km 포함),,,5시간,
1945189,49.81km,,,7시간,
2380919,43.48km,,,1박 2일,
1938441,2.84km,,,5시간,
1928379,19.98km,,,1일,
1928381,42.23km,,,1일,
1854246,30km,,,5시간,
1889476,24.3KM,,,6시간,
2037011,54.45km,,,1일,
1854485,3km,,,4시간,
1937588,41.66km,,,8시간,
2514411,51.11km,,,,
1889549,28.5KM,,,6.5시간,
1927604,40.21km,,,6시간,
2047526,77.18km,,,1박 2일,
1938175,15.03km,,,4시간,
1889496,43KM,,,6.5시간,
1916751,33.01km,,,7시간,
1927995,20.97km,,,8시간,
2380929,17.49km,,,1박2일,
1889823,45.9KM,,,6.5시간,
2017501,29.30km,,,1일,
1889565,27.7KM,,,6시간,
2372004,33.27km,,,1일,
1938178,15.03km,,,4시간,
1937599,61.94km,,,6시간,
1889501,23.6KM,,,6시간,
1938187,53.34km,,,8시간,
1937655,38.30km,,,1박 2일,
1889535,6.4KM,,,6시간,
1936020,23.91km,,,6시간,
1937648,36.87km,,,1일 코스,
1889512,25.3KM,,,6시간,
1936021,21.92km,,,4시간,
2519144,52km,,,,
1968521,68.43km,,,1일,
2390869,2.44km,,,1박 2일,
1927609,72.69km,,,5시간,
2519141,38.68km,,,,
2513871,156.73km,,,약 3시간,
2372003,67.25km,,,1박 2일,
1889544,9KM,,,4시간,
2666539,86.3km,,,1박2일,
2372001,33.05km,,,1일,
2514074,25.84km,,,,
2514072,21.62km,,,,
2037388,70.31km,,,1박 2일,
1937646,92.05km,,,1박 2일,
1938184,12.67km,,,6시간,
1938173,65.75km,,,8시간,
1938430,27.91km,,,6시간,
1889538,19.3KM,,,5.5시간,
2371996,38.50km,,,1일,
2383729,25.420km,,,6시간,
2371994,24.26km,,,1일,
2514417,31.73km,,,,
1937595,47.98km,,,7시간 30분,
1965856,25.91km,,,5시간,
1928021,10.5km,,,,
2519145,21.69,,,,
1938170,30.43km,,,6시간,
2514424,22.03km,,,,
1960316,31km,,,1일,
2037281,55.27km,,,1박 2일,
1889785,35.8KM,,,1박 2일,
1889520,118KM(대천항-외연도 왕복 106KM),,,1박 2일,
2017552,30.51km,,,1박 2일,
2519140,53.56km,,,,
2514416,41.58km,,,,
2390844,19.19km,,,1일,
1889547,53KM,,,6시간,
1936030,43.87km,,,5시간 30분,
1937802,80.83km,,,1일,
1937637,20km,,,,
1968140,33.64km,,,5시간,
1965848,5.46km,,,3시간,
1892511,56km,,,6시간(목적지마다 식사시간 1시간 포함),
1937621,247.94km,,,1박 2일,
1937611,633.31km,,,1박 2일,
1937803,28.83km,,,1박 2일,
1938169,134.46km,,,1박 2일,
1889789,16.7KM(등산로 7KM),,,6시간,
1889806,64.9KM,,,1박 2일,
2372005,34.36km,,,1일,
1889475,21km,,,6시간,
2523251,168.75km,,,약 2시간 30분,
1889550,52.6KM,,,1박 2일,
2358072,28.24km,,,1박 2일,
1949308,4.90km,,,1일,
1949311,19.42km,,,4시간,
2619120,95.66km,,,1박 2일,
2383747,6.80km,,,6시간,
2557515,30.49km,,,약 50분,
1960312,267.37km,,,1박 2일,
1948950,49.58km,,,1일,
1948980,83.92km,,,1일,
1871068,41.3km,,,6시간,
1854218,18km,,,6시간,
1945387,55.57km,,,1일,
1875574,10.6km,,,6시간,
1875578,16km,,,6시간,
1856071,28.7km,,,1일,
1855884,9km,,,5시간,
1944360,45.53km,,,5시간,
2037283,56.45km,,,1박 2일,
1943383,35.04km,,,5시간,
1943363,36.33km,,,7시간,
1871116,43km,,,6시간,
1943392,21.44km,,,8시간,
2006523,24.61km,,,1일,
1948716,79.61km,,,7시간,
1967422,95.26km,,,1일,
1871095,42.3km,,,5시간,
1948987,72.32km,,,1일,
2049286,11.55km,,,1박 2일,
1944431,32.23km,,,7시간,
2519121,56.24km,,,,
1960685,83.01km,,,1일,
1856000,13km,,,"6시간(자연생태공원, KBS촬영장 포함)",
1871101,53.4km,,,7시간,
1949306,17.91km,,,6시간,
1950250,80.14km,,,1일,
2357553,47.40km,,,1일,
1853986,31km,,,7시간,
1949307,42.77km,,,1일,
1944425,87.46km,,,1박 2일,
1871105,74.2km,,,1박 2일,
2364616,29.87km,,,6시간,
2659576,,,,1박2일,
1948956,,,,,
1875589,45.1KM(절골계곡 7.5KM 포함),,,7시간,
1950219,18.74km,,,5시간,
1944450,27.64km,,,6시간,
1949894,7.33km,,,4시간,
1966524,58.12km,,,1일,
1854224,9.5km(남산 등반 4.2km 포함),,,6시간 30분,
2364620,11.10km,,,3시간,
1871120,,,,1박 2일,
1948962,41.11km,,,5시간,
1944447,38.77km,,,1일,
2382630,94.08km,,,1박 2일,
2514406,29.37km,,,,
1943425,74.01km,,,8시간,
1977181,77.65km,,,1일,
1950220,29.07km,,,1일,
2365335,42.66km,,,1일,
1949337,66.29km,,,1일,
1871081,18km,,,6시간,
1950343,69.71km,,,1일,
2384399,7.07km,,,1일,
2514075,51.51km,,,,
1960694,17.31km,,,5시간,
1854158,9.5km,,,7시간,
1854171,13km,,,6시간,
1871090,45.3km,,,7시간,
1949892,71.62km,,,1일,
1948676,32.03km,,,5시간,
1966531,51.59km,,,7시간,
1966886,13.69km,,,5시간,
1944408,236.26km,,,1일,
1943419,35.02km,,,8시간,
1944444,85.16km,,,1일,
1943436,"41.15km,",,,6시간,
2037412,52.87km,,,1박 2일,
2519127,46.55km,,,,
1949891,42.73km,,,1일,
2037712,10.33km,,,1일,
1948723,39.38km,,,1일,
1960570,65.55km,,,1일,
1960569,27.55km,,,6시간,
1948718,34.66km,,,5시간,
1855917,29km,,,5시간,
2030578,108km,,,1일,
1944358,54.30km,,,1일,
1943430,86.04km,,,8시간,
2022067,37.84km,,,1일,
1855873,12km,,,7시간,
1871192,34.5km,,,6시간,
2514399,8.35km,,,,
1875636,25KM,,,6시간,
1943412,36.89km,,,6시간,
1875592,34.3KM(주왕산 트래킹 5.1KM 포함),,,7시간,
1944365,23.57km,,,1일,
1854200,10km,,,5시간,
1875579,59.3km,,,7시간,
1856085,6km,,,4시간,
1950217,18.74km,,,5시간,
1944362,43.80km,,,8시간,
1949887,32.08km,,,7시간,
1854229,7km(선도산 3km 포함),,,6시간,
1875605,11km(가산산성 트래킹 5.4km 포함),,,6시간,
1853974,15km(갓바위 왕복 4.2km 포함),,,7시간,
1871112,72.1km,,,1박 2일,
1945211,58.28km,,,1일,
2631871,약 60km,,,1박 2일,
1874686,44km(해안 산책로 2.9km 포함),,,7시간(걷기길 2시간 포함),
1871072,47.7km,,,7시간,
1968949,41.31km,,,7시간,
1855936,46.1km,,,5-6시간,
2519113,33.97km,,,,
1945206,80.49km,,,1일,
1853978,13km,,,6시간,
2365331,39.20km,,,1일,
1875635,47.5KM(내연산 계곡트래킹 5KM 포함),,,6~7시간,
1871110,19.5km,,,6시간,
2519128,28.52km,,,,
2048650,105.38km,,,1박 2일,
1928383,72.71km,,,1일,
2381406,24.55km,,,5시간,
2402735,약 36km,,,약 5시간 코스,
1968165,18.46km,,,7시간,
1908287,16.40km,,,4시간,
2514870,11.78km,,,,
2385684,38.69km,,,1일,
1978858,18.64km,,,1박 2일,
2394462,38.11km,,,1박 2일,
2393559,17.94km,,,1일,
1960921,91.82km,,,1박 2일,
2364082,59.11km,,,1일,
2514311,13.42km,,,,
1853970,10km(금원산 왕복 등산 코스),,,1박 2일,
1908056,2.5km,,,4시간,
1908065,4.10km,,,4시간,
2022051,700m,,,5시간,
2364116,41.31km,,,1일,
1855637,37.7km,,,7시간,
1855371,55km,,,1박 2일,
2500378,402.251km,,,약 6시간,
1967827,30.64km,,,7시간,
1967835,64.86km,,,1일,
2515783,17.63km,,,,
2515793,60.25km,,,,
1908277,39.29km,,,4시간,
2350083,5.12km,,,5시간,
2385677,35.37km,,,1일,
2663433,59.3km,,,1박2일,
2357713,62.40km,,,1박 2일,
1892285,약 14km,,,6시간,
2393102,43.21km,,,1박 2일,
2515768,4.55km,,,,
2364126,41.25km,,,6시간,
1855403,41.6km,,,7시간,
2394434,138.15km,,,1박 2일,
2037380,102.50km,,,1박 2일,
2364608,44.34km,,,6시간,
2515773,"31.65,km",,,,
2515746,3.32km,,,,
2044476,27.96km,,,1박 2일,
1855677,32.6km,,,1박 2일,
2515788,38.32km,,,,
2631918,약 50km,,,1박 2일,
1855676,28.9km,,,5시간,
1977177,38.43km,,,8시간,
2038187,118.71km,,,1박 2일,
2389116,94.08km,,,1박 2일,
2037010,13.64km,,,6시간,
2514308,13.69km,,,,
2364131,48.20km,,,6시간,
1967425,67.87km,,,1일,
1967430,39.42km,,,6시간,
1967431,52.82km,,,1일,
1870711,11km,,,7시간,
1855425,36.7km,,,6시간,
1853965,20km,,,7시간,
2515790,4.51km,,,,
1853969,4km,,,5시간,
2516048,20km,,,,
2381394,18.51km,,,8시간,
1870733,20.1km,,,6시간,
2371985,10.07km,,,1일,
1870753,44.6km,,,7시간,
2381550,45.6km,,,7시간,
2519107,34.11km,,,,
2515782,약 80km,,,1박 2일,
2046337,102.58km,,,1박 2일,
1855449,8km,,,7시간,
1908068,10.82km,,,4시간,
2515740,25.78km,,,,
2619919,69.59km,,,1박 2일,
1870729,21.8km(해상 약 7km 포함),,,7시간,
1855416,40.4km,,,6시간,
1855468,50.0km,,,6시간,
2037261,82.55km,,,1박 2일,
1966900,69.03km,,,1일,
2357546,28.95km,,,1일,
1870738,39km,,,1박 2일,
1976466,50.06km,,,1일,
1870693,9km(진주성 도보 약 3km 포함),,,5시간,
1960689,30.44km,,,5시간,
2515767,23.93km,,,,
2364112,3.55km,,,3시간,
2364589,10.93km,,,6시간,
2514309,17.76km,,,,
1855378,11.6km,,,7시간,
1960690,69.49km,,,6시간,
2656788,128.7km,,,1박2일,
2037488,64.62km,,,1박 2일,
2364085,77.64km,,,1일,
1967388,2.47km,,,5시간,
2006482,26.33km,,,1일,
1853967,25.5km,,,7시간,
1870727,34km(여객선 26km 포함),,,7시간,
1853963,26km,,,5시간,
2364134,36.38km,,,6시간,
1855664,13.3km,,,5-6시간,
1870766,66km,,,8시간,
1967407,58.70km,,,1일,
1870735,25.4km,,,7시간,
1870725,22.7km,,,7시간,
1870718,38.6km,,,8시간,
1855645,12.4km,,,9시간,
2364067,28.96km,,,4시간,
1857201,,,,,
2381376,16.37km,,,5시간,
1865551,49km(칠연계곡 트래킹 3km 포함),,,6시간,
1854242,6km(선운사-낙조대 왕복),,,3시간 30분(산사체험 별도),
2382589,27.94km,,,1일,
1865179,"20.7km(설천봉-향적봉 2km, 삼공매표소-백련사 12km 포함)",,,5~6시간,
2371989,17.45km,,,7시간,
2036096,9.51km,,,6시간,
2017899,11.40km,,,1일,
1874106,약 12km (전주한옥마을 포함거리),,,6시간,
2371950,50.79km,,,1박 2일,
2037271,26.32km,,,1박 2일,
2357736,28.83km,,,6시간,
1874156,약 19km(마이산 등반길 제외),,,8시간(마이산 산행 3시간 포함),
2371988,2.92km,,,1일,
2514468,22.68km,,,,
1857250,17.8km,,,5시간,
1966891,38.89km,,,7시간,
2389208,8.66km,,,1일,
2381382,14.85km,,,7시간,
2393105,25.94km,,,1박 2일,
2371990,59.27km,,,1일,
1865567,44.3km(내변산탐방안내소-직소폭포 4.4km 포함),,,6시간,
2519159,288.16km,,,약 4시간,
2048169,82.18km,,,1일,
